schema,table,column,ordinal,wiki_path,wiki_len,wiki_rich,proposed_comment
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,Source,30,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,127,0,Hardcoded reporting entity name. Always 'eToro (UK) Limited' — the FCA-registered UK legal entity. (Tier 2 — SP_AML_SAR_Report)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,GBP_Equity,49,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,217,2,TotalEquity converted to GBP: TotalEquity × (1 / GBP_USD bid price from Fact_CurrencyPriceWithSplit where InstrumentID=2 and OccurredDateID = @DateID). Used to determine SarCode threshold. (Tier 2 — SP_AML_SAR_Report)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,SettledIn$,7,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CIDLevel_Settlement_Report.md,270,1,"Total mark-to-market value in USD of the instrument held by this CID. SUM of (Amount + PositionPnL) from BI_DB_PositionPnL. Represents the full settled value including unrealized PnL. (Tier 2 — SP_Finance_Non_US_Settlement_Report, BI_DB_PositionPnL.Amount + PositionPnL)"
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,DepositConversionFee,133,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_Aggregate_Level_New.md,81,0,Placeholder; NULL literal in final INSERT (same as CID table). (Tier 3 -computed)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,WithdrawConversionFee,134,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_Aggregate_Level_New.md,81,0,Placeholder; NULL literal in final INSERT (same as CID table). (Tier 3 -computed)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,NWAAdjustment,26,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,174,3,NWA adjustment compensation. SUM(Amount) from Fact_CustomerAction WHERE CompensationReasonID IN (19). Adjustments to Net Withdrawable Amount. (Tier 2 — SP_Client_Balance_New)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,NegativeRefill,27,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,237,3,Negative balance protection refill. SUM(Amount) from Fact_CustomerAction WHERE CompensationReasonID IN (11). Platform refills retail client balance to zero after CFD/futures losses exceed available funds. (Tier 2 — SP_Client_Balance_New)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,LostDebt,35,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,161,3,Lost debt write-off. SUM(Amount) from Fact_CustomerAction WHERE CompensationReasonID IN (31). Uncollectable amounts written off. (Tier 2 — SP_Client_Balance_New)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,Foreclosure,38,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,199,3,Foreclosure amounts. SUM(Amount) from Fact_CustomerAction WHERE CompensationReasonID IN (32). Forced position closures due to margin calls or regulatory requirements. (Tier 2 — SP_Client_Balance_New)
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,DividendsPaid,63,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,177,2,Dividend payments. SUM(Amount) from Fact_CustomerAction WHERE ActionTypeID=35 AND IsFeeDividend=1. Real stock and ETF holders receive dividends. (Tier 2 — SP_Client_Balance_New)
