wiki_path,column_name,verdict,claim_tier,claim_source_text,resolved_wiki,resolved_column,resolved_tier,claim_text,source_text,notes
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,RealCID,FAIL_resolve,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,,,Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables,,column 'RealCID' not found in source
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,GCID,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,GCID,,Group Customer ID - cross-product identity key linking the same person across eToro products/entities. NULL for older accounts predating GCID introduction,Group Customer ID - cross-product identity key linking the same person across eToro products/entities. Indexed via IDX_Customer_Customer_GCID with wide INCLUDE for lookup performance. NULL for older accounts predating GCID introduction,downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,OriginalCID,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,OriginalCID,,"Original customer ID from the source provider. Together with OriginalProviderID, enables tracing of migrated accounts. Default=0","Original customer ID from the source provider. Together with OriginalProviderID, enables tracing of migrated accounts. Default=0 (CCST_NULLORIGINAL constraint)",downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,ID,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,ID,,System GUID for REST API identity. Default=newsequentialid() (sequential for index performance),System GUID for REST API identity. Default=newsequentialid() (sequential for index performance). Unique index Idx_CustomerCustomerStaticID,downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,ExternalID,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,ExternalID,,"APEX broker external ID. Decimal(38,0) to accommodate APEX very large numeric ID format","APEX broker external ID. Unique index Idx_CustomerCustomerStatic_ExternalID. Decimal(38,0) to accommodate APEX's very large numeric ID format",downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,UserName,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,UserName,,"Customer login username. Unique (case-insensitive, enforced via UserName_LOWER computed column index)","Customer's login username. Unique (case-insensitive, enforced via UserName_LOWER computed column index)",downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,FirstName,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,FirstName,,"Legal first name in Unicode. nvarchar supports non-Latin scripts (Cyrillic, Arabic, etc.). Used in LinkedAccountHash1","Legal first name in Unicode. **Dynamic Data Masking: default().** nvarchar supports non-Latin scripts (Cyrillic, Arabic, etc.). Used in LinkedAccountHash1. See Customer.CustomerLatinName for Latin transliterations",downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,LastName,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,LastName,,Legal last name in Unicode. Used in LinkedAccountHash1,Legal last name in Unicode. **Dynamic Data Masking: default().** nvarchar. Used in LinkedAccountHash1,downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,MiddleName,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,MiddleName,,Middle name in Unicode. Added 2018. Included in CustomerVersionUpdate history tracking,Middle name in Unicode. **Dynamic Data Masking: default().** Added 2018 (changelog: 50094). Included in CustomerVersionUpdate history tracking,downstream claims Tier 1 but source is Tier NONE
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,Gender,FAIL_tier_promotion,1,Customer.CustomerStatic,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,Gender,,"Gender: M, F, or U (Unknown). CHECK constraint CCST_GENDER enforces these three values only. Used in LinkedAccountHash1","Gender: 'M', 'F', or 'U' (Unknown). CHECK constraint CCST_GENDER enforces these three values only. Used in LinkedAccountHash1",downstream claims Tier 1 but source is Tier NONE
