wiki_path,idx,column,source,old_cell,new_cell,status,hops,terminal_object,exhausted_reason
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,2,CID,,Direct,Customer ID. References Customer.Customer. (Tier 1 — Trade.PositionTbl) (via Dim_Position),FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,3,PositionID,,Direct,Primary key. Allocated by Internal.GetPositionID_Bigint. Unique per position. (Tier 1 — Trade.PositionTbl) (via Dim_Position),FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,8,InstrumentID,,Direct,FK to Trade.Instrument. Financial instrument being traded. (Tier 1 — Trade.PositionTbl) (via Dim_Position),FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,9,MirrorID,,Direct,FK to Trade.Mirror. 0/NULL = manual. Positive = copy-trade position. (Tier 1 — Trade.PositionTbl) (via Dim_Position),FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,10,Leverage,,Direct,"Leverage multiplier (1, 5, 10, etc.). Determines margin and settlement type. (Tier 1 — Trade.PositionTbl) (via Dim_Position)",FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,11,IsBuy,,Direct,"1 = Long/Buy (profit when price rises), 0 = Short/Sell. (Tier 1 — Trade.PositionTbl) (via Dim_Position)",FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,12,IsSettled,,Direct,"1 = real asset, 0 = CFD asset. (Tier 5 — Expert Review) (via Dim_Position)",FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,13,HedgeServerID,,Direct,FK to Trade.HedgeServer. Hedge server managing this position. (Tier 1 — Trade.PositionTbl) (via Dim_Position),FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,14,SettlementTypeID,,Direct,"Modern settlement classification. Dictionary.SettlementTypes: 0=CFD, 1=REAL, 2=TRS, 3=CMT, 4=REAL_FUTURES, 5=MARGIN_TRADE. Replaces IsSettled. (Tier 1 — Trade.PositionTbl) (via Dim_Position)",FOUND,2,Dim_Position,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,15,ClosedOnDate,,Direct,"ISNULL(dp.ClosedOnDate, 0) (sql-derived [coalesce, DIVERGENT] from Function_PnL_Single_Day); branches: 1 when (dp.CloseDateID = @dateID) || 0 (fallback); where dp = DWH_dbo.Dim_Position",FOUND,1,Function_PnL_Single_Day,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,16,IsFuture,,Direct,"1=futures contract (instrument in Trade.InstrumentGroups WHERE GroupID=25), 0=not futures. 243 flagged as futures. (Tier 2 — SP_Dim_Instrument) (via Dim_Instrument)",FOUND,2,Dim_Instrument,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,17,IsCopyFund,,Direct,CASE WHEN NOT cpt.PositionID IS NULL THEN 1 ELSE 0 END (sql-derived [case] from Function_PnL_Single_Day); where cpt = BI_DB_dbo.BI_DB_CopyFund_Positions,FOUND,1,Function_PnL_Single_Day,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,18,IsMarginTrade,,Direct,"COALESCE(dp.IsMarginTrade, upl.IsMarginTrade) (sql-derived [coalesce, DIVERGENT] from Function_PnL_Single_Day); branches: CASE WHEN dp.SettlementTypeID = 5 THEN 1 ELSE 0 END || CASE WHEN bdppl.SettlementTypeID = 5 THEN 1 ELSE 0 END; where dp = DWH_dbo.Dim_Position, bdppl = BI_DB_dbo.BI_DB_PositionPnL",FOUND,1,Function_PnL_Single_Day,
