object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,verdict_source,verdict,contradicting_fact_verbatim,raw_context
Dim_AccountType,AccountTypeID,description,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrated, 17=Funded Employee, 18=Trust. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID. (Tier 1 - upstream wiki, Dictionary.AccountType)","Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,134,llm,WRONG,classifies every eToro account into one of 17 categories,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrat"
Dim_AccountType,AccountTypeID,description,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private Account, 7=Employee Account, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate Account, 16=Administrated Account, 17=Funded Employee Account, 18=Trust. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID. (Tier 1 - upstream wiki, Dictionary.AccountType)","Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.alter.sql,27,llm,WRONG,classifies every eToro account into one of 17 categories,"Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private Account, 7=Employee Account, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate"
Dim_ActionType,CategoryID,description,"Business category integer code grouping multiple action types. Values: 0=N/A, 1=Account balance to mirror, 2=Bonus, 3=Cashier Loggin, 4=Cashout/Withdraw, 5=Cashout request, 6=Chargeback, 7=Compensation, 8=Deposit, 9=DepositAttempt, 10=DetachPosition, 11=Edit StopLoss, 12=End Of The Week Fee, 13=LoggedIn, 14=Mirror balance to account, 15=Open CRM Case, 16=Open Stock Order, 17=PositionClose, 18=PositionOpen, 19=Processed Cashout, 20=Refund, 21=Refund As ChargeBack, 22=Register new mirror, 23=Reverse cashout, 24=Unregister mirror, 25=UserEngagement, 26=WallEngagement, 27=Customer Registration, 28=Reverse Deposit. Used in SP_Validation_Cycle_Gap MINO filter: CategoryID IN (2,4,6,7,8,12,17,19,20,21,23). (Tier 3 - live data, DWH_dbo.Dim_ActionType)","Integer code grouping multiple action types into business categories (values 0–28). Used in SP_Validation_Cycle_Gap_DL_To_Synapse MINO filter: CategoryID IN (2,4,6,7,8,12,17,20,21,19) — note that 23 (Reverse cashout) is commented out in the current SP code.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.alter.sql,32,llm,WRONG,"CategoryID in(2,4,6,7,8,12,17,20,21,/*23,*/19)/*Only MINO movements*/","Business category integer code grouping multiple action types. Values: 0=N/A, 1=Account balance to mirror, 2=Bonus, 3=Cashier Loggin, 4=Cashout/Withdraw, 5=Cashout request, 6=Chargeback, 7=Compensation, 8=Deposit, 9=DepositAttempt, 10=DetachPosition, 11=Edit StopLoss, 12=End Of The Week Fee, 13=Logg"
Dim_BillingDepot,FundingTypeID,description,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)","Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,106,llm,WRONG,| 6 | Wire | 1 | 1 | Bank wire transfer. Used for large deposits. Slower processing but no card-based limits. Supports cashout (bank transfer withdrawal). |,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)"
Dim_BillingDepot,FundingTypeID,description,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers/Skrill). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)","Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.alter.sql,28,llm,WRONG,| 6 | Wire | 1 | 1 | Bank wire transfer. Used for large deposits. Slower processing but no card-based limits. Supports cashout (bank transfer withdrawal). |,"Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers/Skrill). References Dictionary.FundingType. 38 distinct values across 163 depots. (Tier 1 - upstream wiki, Billing.Depot)"
Dim_BillingProtocolMIDSettingsID,MerchantAccountID,description,"Optional link to a specific merchant account configuration in Billing.MerchantAccountValues. When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable. (Tier 1 - upstream wiki, Billing.ProtocolMIDSettings)","Optional link to a merchant account defined in Billing.MerchantAccountRouting (the master routing table; Billing.MerchantAccountValues stores parameter values for those accounts). When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingProtocolMIDSettingsID.md,156,llm,WRONG,Billing.MerchantAccountRouting | Many-to-one | MerchantAccountValues.MerchantAccountID = MerchantAccountRouting.MerchantAccountID | Implicit. The routing table selects which merchant account to use; values table provides its parameters.,"Optional link to a specific merchant account configuration in Billing.MerchantAccountValues. When set (~25% of rows), enables finer-grained routing to a specific acquiring account within a depot. NULL when not applicable. (Tier 1 - upstream wiki, Billing.ProtocolMIDSettings)"
Dim_CardType,CardTypeID,description,"Card network identifier. Active brands (IsActive=1 as of 2019): 0=None (unknown/fallback), 1=Visa, 2=Master Card, 3=Diners. Inactive: 4=Amex, 5=Fire Pay, 6=JCB, 7=American Express, 8=Maestro (active in production today), 9=Laser, 10=Switch, 11=UK Local Credit Card, 12=Discover, 13=Local Card, 14=China Union Pay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH note: snapshot covers IDs 0-17 only; production has 32 types including newer IDs. (Tier 1 - upstream wiki, Dictionary.CardType)","Card network identifier. Active brands (IsActive=1): 1=Visa, 2=MasterCard, 3=Diners, 8=Maestro. Inactive (IsActive=0): 0=None (fallback), 4=Amex, 5=FirePay, 6=JCB, 7=American Express, 9=Laser, 10=Switch, 11=UK Local, 12=Discover, 13=Local Card, 14=China UnionPay, 15=Solo, 16=Cirrus, 17=GE Capital. DWH snapshot covers IDs 0–17; production has 32 types.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CardType.alter.sql,27,llm,WRONG,| 0 | None | 0 | 0 | Fallback when BIN lookup fails to identify card network. Not accepted for deposits. |,"Card network identifier. Active brands (IsActive=1 as of 2019): 0=None (unknown/fallback), 1=Visa, 2=Master Card, 3=Diners. Inactive: 4=Amex, 5=Fire Pay, 6=JCB, 7=American Express, 8=Maestro (active in production today), 9=Laser, 10=Switch, 11=UK Local Credit Card, 12=Discover, 13=Local Card, 14=Chi"
Dim_ClosePositionReason,ClosePositionReasonID,description,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=SL via trade server, 4=Return to Market, 5=Take Profit, 6=TP via trade server, 7=Contact Rollover, 8=BackOffice, 9=Hierarchical Close, 10=Hierarchical close by recovery, 11=Join Demo Challenge, 12=Close All, 13=Copy Stop Loss, 14=Mirror manual, 15=Manual Liquidation, 16=BSL, 17=Manual Unregister, 18=BackOffice Unregister, 19=Redeem, 20=Operational adjustment, 21=Orphaned, 22=Transferred Out, 23=Alignment, 24=Delist, 25=Close by rate, 26=Expiry. Stored permanently with every closed position. (Tier 1 - upstream wiki, Dictionary.ClosePositionActionType)","Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,121,llm,WRONG,7: Contract Rollover,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=SL via trade server, 4=Return to Market, 5=Take Profit, 6=TP via trade server, 7=Contact Rollover, 8=BackOffice, 9=Hierarchical Close, 10=Hierarchical close by recovery, 11=Join Demo Challenge"
Dim_ClosePositionReason,ClosePositionReasonID,description,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=Stop Loss (via trade server), 4=Return to Market, 5=Take Profit, 6=Take Profit (via trade server), 7=Contact Rollover, 8=BackOffice User, 9=Hierarchical Close, 10=Hierarchical close by recovery, 11=Join Demo Challenge, 12=Close All, 13=Copy Stop Loss, 14=Mirror position manual close, 15=Manual Liquidation, 16=BSL, 17=Manual Unregister, 18=BackOffice Unregister, 19=Redeem, 20=Operational position adjustment, 21=Orphaned position, 22=Transferred Out, 23=Alignment, 24=Delist, 25=Close by rate, 26=Expiry. Stored permanently with every closed position. (Tier 1 - upstream wiki, Dictionary.ClosePositionActionType)","Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.alter.sql,27,llm,WRONG,7: Contract Rollover,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=Stop Loss (via trade server), 4=Return to Market, 5=Take Profit, 6=Take Profit (via trade server), 7=Contact Rollover, 8=BackOffice User, 9=Hierarchical Close, 10=Hierarchical close by recover"
Dim_CostSubtype,CostSubtypeId,description,"Primary key. Integer identifier for the cost subtype. Maps to: 0=Markup, 1=ConversionMarkup, 2=TicketFee, 3=SDRT (UK Stamp Duty), 4=TransactionFee, 5=Refund, 6=FixPerLotFee. DWH note: sourced from `Id` column in HistoryCosts staging (renamed to CostSubtypeId). (Tier 2 - SP_Dictionaries_DL_To_Synapse)",Nullable integer identifier for the cost subtype. Loaded by SP_Dictionaries_DL_To_Synapse from HistoryCosts staging.,LLM-judged with verbatim Tier-1 citation,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CostSubtype.md,109,llm,WRONG,CostSubtypeId int NULL,"Primary key. Integer identifier for the cost subtype. Maps to: 0=Markup, 1=ConversionMarkup, 2=TicketFee, 3=SDRT (UK Stamp Duty), 4=TransactionFee, 5=Refund, 6=FixPerLotFee. DWH note: sourced from `Id` column in HistoryCosts staging (renamed to CostSubtypeId). (Tier 2 - SP_Dictionaries_DL_To_Synapse"
