schema,table,column,ordinal,current_len,current_rich,is_trivial,bucket,action,reason,wiki_path,wiki_len,wiki_rich,best_sibling_path,best_sibling_len,best_sibling_rich,current_comment,wiki_cell,best_sibling_cell
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,Id,0,111,1,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/BlockchainCryptos.md,397,5,"Auto-incrementing surrogate primary key. (Tier 1 - upstream wiki, FiatDwhDB.dbo.AccountsProviderHoldersMapping)",,"Unique blockchain network identifier. Manually assigned (not IDENTITY) to maintain stable IDs across environments. Referenced by Wallet.CryptoTypes, Wallet.Wallets, Wallet.WalletPool, and Wallet.BlockchainCryptoProviders as BlockchainCryptoId. Gaps exist in sequence (e.g., 5, 7 missing) - likely reserved IDs for blockchains that were planned but not launched. (Tier 1 — Wallet.BlockchainCryptos)"
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,AccountId,1,151,2,False,RICH_OK,leave_alone,len=151 r=2,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Views/BI_DB_MarketingCloudDaily_V.md,282,2,"FK to dbo.FiatAccount.Id. The internal platform account this mapping belongs to. (Tier 1 - upstream wiki, FiatDwhDB.dbo.AccountsProviderHoldersMapping)",,AccountId projected from BI_DB_MarketingCloudDaily (see base table wiki). Salesforce CRM Account record ID (18-char Salesforce ID). Links the trading account to the SF Account. NULL if not yet synced. Passthrough from Dim_Customer.SalesForceAccountID. (Tier 1 — BackOffice.Customer)
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,ProviderHolderId,2,260,1,False,RICH_OK,leave_alone,len=260 r=1,,0,0,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.md,289,1,"The external provider's (Tribe) identifier for this account holder. Used in all provider API interactions and support queries. Stored as string to accommodate different provider ID formats. (Tier 1 - upstream wiki, FiatDwhDB.dbo.AccountsProviderHoldersMapping)",,The external provider's (Tribe) identifier for this account holder. Used in all provider API interactions and support queries. Stored as string to accommodate different provider ID formats. DWH note: renamed from ProviderHolderId; CAST to INT. (Tier 1 — dbo.AccountsProviderHoldersMapping)
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,Created,3,138,1,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=4 > uc r=1,,0,0,knowledge/synapse/Wiki/eMoney_Tribe/Tables/SettlementsTransactions_SettlementTransaction-637239.md,266,4,"UTC timestamp when this mapping was recorded in the data warehouse. (Tier 1 - upstream wiki, FiatDwhDB.dbo.AccountsProviderHoldersMapping)",,"Source system timestamp of when the settlement record was created in FiatDwhDB.Tribe. Used as the incremental load watermark by SP_eMoney_Reconciliation_ETLs (WHERE @Created >= @SettlementsTransactions_DATE). (Tier 3 — FiatDwhDB.Tribe, no upstream column-level wiki)"
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,etr_y,4,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling WalletAssets.md has 236ch r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/WalletAssets.md,236,1,,,"ETL partition key — year component derived from Occurred (e.g., ""2019""). Used by Generic Pipeline for data lake partitioning. Populated for historical data; empty/NULL for rows from ~2025 onwards. (Tier 3 — WalletDB.Wallet.WalletAssets)"
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,etr_ym,5,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling WalletAssets.md has 245ch r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/WalletAssets.md,245,1,,,"ETL partition key — year-month component derived from Occurred (e.g., ""2019-06""). Used by Generic Pipeline for data lake partitioning. Populated for historical data; empty/NULL for rows from ~2025 onwards. (Tier 3 — WalletDB.Wallet.WalletAssets)"
emoney,bronze_fiatdwhdb_dbo_accountsproviderholdersmapping,etr_ymd,6,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling WalletAssets.md has 252ch r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/WalletAssets.md,252,1,,,"ETL partition key — year-month-day component derived from Occurred (e.g., ""2019-06-11""). Used by Generic Pipeline for data lake partitioning. Populated for historical data; empty/NULL for rows from ~2025 onwards. (Tier 3 — WalletDB.Wallet.WalletAssets)"
emoney,bronze_fiatdwhdb_dbo_cardsprovidersmapping,Id,0,102,1,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=1,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/BlockchainCryptos.md,397,5,"Auto-incrementing surrogate primary key. (Tier 1 - upstream wiki, FiatDwhDB.dbo.CardsProvidersMapping)",,"Unique blockchain network identifier. Manually assigned (not IDENTITY) to maintain stable IDs across environments. Referenced by Wallet.CryptoTypes, Wallet.Wallets, Wallet.WalletPool, and Wallet.BlockchainCryptoProviders as BlockchainCryptoId. Gaps exist in sequence (e.g., 5, 7 missing) - likely reserved IDs for blockchains that were planned but not launched. (Tier 1 — Wallet.BlockchainCryptos)"
emoney,bronze_fiatdwhdb_dbo_cardsprovidersmapping,CardId,1,117,2,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=4 > uc r=2,,0,0,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Account_Mappings.md,308,4,"FK to dbo.FiatCards.Id. The internal card being mapped. (Tier 1 - upstream wiki, FiatDwhDB.dbo.CardsProvidersMapping)",,"Auto-incrementing surrogate primary key. Referenced by FiatCardStatuses.CardId, FiatCardInstances (implicit), and CardsProvidersMapping.CardId. DWH note: renamed from Id in dbo.FiatCards; latest card per AccountId (ROW_NUMBER by Created DESC). NULL for IBAN accounts (95.3% of rows). (Tier 1 — dbo.FiatCards)"
emoney,bronze_fiatdwhdb_dbo_cardsprovidersmapping,ProviderId,2,122,2,False,MEDIUM_OK,leave_alone,medium; no clear win uc r=2,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,164,3,"FK to Dictionary.Providers. Currently 1=Tribe. See Provider. (Tier 1 - upstream wiki, FiatDwhDB.dbo.CardsProvidersMapping)",,"FK to Trade.Provider. Identifies the execution provider (e.g., 1=Tribe). From Trade.ProviderToInstrument. (Tier 1 — Trade.ProviderToInstrument) (via Dim_Instrument)"
