file_relpath,line,uc_object,column,codepoint,claimed_label,truth_name,action,rationale
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCommisionReport_Instrument_Agg.alter.sql,42,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport_instrument_agg,AccountTypeID,1,Personal,Private,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.alter.sql,26,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,InstrumentTypeID,12,ETFs,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.alter.sql,26,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,InstrumentTypeID,73,Currencies,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.alter.sql,28,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,InstrumentTypeID,3,Commodities,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Trading_Volumes_And_Amounts.alter.sql,26,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,InstrumentTypeID,1,Currencies/Forex,Currencies,SUPPRESSED,Claim starts with truth; regex over-captured trailing prose.
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Trading_Volumes_And_Amounts.alter.sql,26,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,InstrumentTypeID,9,Options,,SKIPPED_NO_TEXT_MATCH,Exact assertion substring not found.
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_OPS_KYC_Verification.alter.sql,26,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_kyc_verification,PlayerStatusID,1,Active/Registered,Normal,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.alter.sql,23,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,ActionTypeID,1,Post,ManualPositionOpen,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.alter.sql,23,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,ActionTypeID,2,Comment,CopyPositionOpen,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.alter.sql,23,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,ActionTypeID,3,Like,CopyPlusPositionOpen,SUPPRESSED,Column is repurposed in this table (comment body advertises derived/passthrough/CASE source).
