uc_fqn,wiki,column,deployed,converged,rules_fired,source_wiki,deployed_richness,upstream_richness,sibling_richness,semantic_anchor
main.etoro_kpi_prep.v_trading_volume_and_amount,Function_Trading_Volume,IsSQF,Instrument in SQF subset at @edateInt; GROUP BY. Source: BI_DB_dbo.Function_Instrument_Snapshot_Enriched. (T2 — Function_Trading_Volume),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Trading_Volume)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,2,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_trading_volume_positionlevel,Function_Trading_Volume_PositionLevel,IsSQF,ISNULL from TVF subset IsSQF=1 at @edateInt. Source: BI_DB_dbo.Function_Instrument_Snapshot_Enriched. (T2 — Function_Trading_Volume_PositionLevel),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Trading_Volume_PositionLevel)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,3,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_revenue_adminfee,Function_Revenue_AdminFee,IsSQF,CASE WHEN InstrumentID IN (subquery WHERE IsSQF = 1) THEN 1 ELSE 0 END. Source: Function_Instrument_Snapshot_Enriched(@edateInt).InstrumentID. (T2 — Function_Revenue_AdminFee),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Revenue_AdminFee)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,3,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_revenue_commission,Function_Revenue_Commissions,IsSQF,CASE WHEN InstrumentID IN (enriched WHERE IsSQF = 1) THEN 1 ELSE 0 END. Source: Function_Instrument_Snapshot_Enriched. (T2 — Function_Revenue_Commissions),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Revenue_Commissions)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,3,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_revenue_fullcommission,Function_Revenue_FullCommissions,IsSQF,CASE WHEN InstrumentID IS NOT NULL THEN 1 ELSE 0 END. Source: Function_Instrument_Snapshot_Enriched.InstrumentID. (T2 — Function_Revenue_FullCommissions),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Revenue_FullCommissions)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,2,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_revenue_rollover,Function_Revenue_RolloverFee,IsSQF,CASE WHEN InstrumentID IS NOT NULL THEN 1 ELSE 0 END. Source: Function_Instrument_Snapshot_Enriched.InstrumentID. (T2 — Function_Revenue_RolloverFee),"Flag for SpotQuotedFuture instruments. CASE WHEN adj.InstrumentID IS NOT NULL THEN 1 ELSE 0 END WHERE GroupID = 59, joined on dis.DateID >= adj.DateID (adj carries @dateInt as DateID). Source: DWH_staging.etoro_Trade_InstrumentGroups (via Function_Instrument_Snapshot_Enriched). (T2 — Function_Revenue_RolloverFee)","UPSTREAM_RICHER,SEMANTIC_ANCHOR",Function_Instrument_Snapshot_Enriched,2,11,11,SpotQuotedFuture
main.etoro_kpi_prep.v_revenue_optionsplatform,Function_Revenue_OptionsPlatform,IsCreditReportValidCB,"Financial-customer flag for Client_Balance reports (CB = Client_Balance, NOT CreditBureau). Approximately = IsValidCustomer with AccountTypeID != 2 and 6 hardcoded CID exceptions for CountryID=250 — eToro-EU subsidiary accounts where the parent custodies assets (counted in regulatory capital reports; not counted as business revenue).. Source: Dim_Customer.IsCreditReportValidCB. (T2 — Function_Revenue_OptionsPlatform)","Financial-customer flag for Client_Balance reports (CB = Client_Balance, NOT CreditBureau). Approximately = IsValidCustomer with AccountTypeID != 2 and 6 hardcoded CID exceptions for CountryID=250 — eToro-EU subsidiary accounts where the parent custodies assets (counted in regulatory capital reports; not counted as business revenue). Source: Dim_Customer.IsCreditReportValidCB. (T2 — Function_Revenue_OptionsPlatform)",NONE,Function_Revenue_OptionsPlatform,10,,6,
main.etoro_kpi_prep.v_revenue_adminfee,Function_Revenue_AdminFee,IsCreditReportValidCB,1 if customer is eligible for CreditBureau credit report validation. ETL-computed in Fact_SnapshotCustomer. Passthrough via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution). Source: BI_DB_Fact_Customer_Action_Position_Distribution.IsCreditReportValidCB. (T2 — Function_Revenue_AdminFee),"Financial-customer flag for Client_Balance reports (CB = Client_Balance, NOT CreditBureau). Approximately = IsValidCustomer with AccountTypeID != 2 and 6 hardcoded CID exceptions for CountryID=250 — eToro-EU subsidiary accounts where the parent custodies assets (counted in regulatory capital reports; not counted as business revenue). Source: Dim_Customer.IsCreditReportValidCB (via Function_Revenue_OptionsPlatform). (T2 — Function_Revenue_AdminFee)",SIBLING_RICHER,Function_Revenue_OptionsPlatform,6,,10,
main.etoro_kpi_prep.v_revenue_commission,Function_Revenue_Commissions,IsCreditReportValidCB,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). Source: Fact_SnapshotCustomer.IsCreditReportValidCB. (T2 — Function_Revenue_Commissions),"Financial-customer flag for Client_Balance reports (CB = Client_Balance, NOT CreditBureau). Approximately = IsValidCustomer with AccountTypeID != 2 and 6 hardcoded CID exceptions for CountryID=250 — eToro-EU subsidiary accounts where the parent custodies assets (counted in regulatory capital reports; not counted as business revenue). Source: Dim_Customer.IsCreditReportValidCB (via Function_Revenue_OptionsPlatform). (T2 — Function_Revenue_Commissions)",SIBLING_RICHER,Function_Revenue_OptionsPlatform,3,,10,
main.etoro_kpi_prep.v_revenue_fullcommission,Function_Revenue_FullCommissions,IsCreditReportValidCB,1 if customer is eligible for CreditBureau credit report validation. ETL-computed. See §2.3. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer). Source: Fact_SnapshotCustomer.IsCreditReportValidCB. (T2 — Function_Revenue_FullCommissions),"Financial-customer flag for Client_Balance reports (CB = Client_Balance, NOT CreditBureau). Approximately = IsValidCustomer with AccountTypeID != 2 and 6 hardcoded CID exceptions for CountryID=250 — eToro-EU subsidiary accounts where the parent custodies assets (counted in regulatory capital reports; not counted as business revenue). Source: Dim_Customer.IsCreditReportValidCB (via Function_Revenue_OptionsPlatform). (T2 — Function_Revenue_FullCommissions)",SIBLING_RICHER,Function_Revenue_OptionsPlatform,3,,10,
