super_concept,concept,primary_owner,pattern,drop_from,claiming_hubs,variants,notes
customer_identity_columns,accounttypeid,domain-customer-and-identity,primary_only,domain-staking,,,
trading_concepts,actiontypeid,domain-trading,primary_only,domain-customer-and-identity; domain-revenue-and-fees,,,ActionTypeID is the trade-action enum on Fact_CustomerAction. Customer-and-identity has the lookup table but routing goes to trading.
customer_lifecycle_populations,active traders,domain-customer-and-identity,primary_only,domain-payments,,,
marketing,airdrop,domain-marketing-and-acquisition,primary_only,domain-staking; domain-trading,,,Airdrop = promo crypto distribution (marketing channel). Staking/trading drop bare.
compliance_aml,alertid,domain-compliance-and-aml,primary_only,domain-ops-and-onboarding,,,
wallet_infrastructure,aml wallet,domain-exw-wallet,primary_only,domain-payments,,,
wallet_infrastructure,amlvalidations,domain-exw-wallet,primary_only,domain-payments,,,
broker_provider_identity,apex,domain-cross,primary_only,domain-options; domain-payments; domain-revenue-and-fees,,,Apex = US broker. Canonical recon in domain-cross. Trading-via-Apex stays in domain-options via 'apex options' qualified form.
broker_provider_identity,apex buyingpower,domain-cross,primary_only,domain-payments,,,
broker_provider_identity,apex sod,domain-cross,primary_only,domain-options; domain-payments,,,Apex Start-of-Day reconciliation. Lives in domain-cross/provider-reconciliation.md.
trading_concepts,apexrecon_holdings,domain-trading,primary_only,domain-revenue-and-fees,,,
trading_concepts,apexrecon_tradeactivity,domain-trading,primary_only,domain-revenue-and-fees,,,
compliance_aml,appropriateness test,domain-customer-and-identity,primary_only,domain-options,,,Appropriateness test = pre-trade KYC quiz; customer-and-identity primary. Options keeps 'options appropriateness' qualified.
aum_aua,assets under management,domain-aum-and-aua,primary_only,domain-trading,,,
customer_lifecycle_populations,audit trail,domain-cross,context_dispatch,,domain-cross; domain-customer-and-identity,audit trail,Two legitimate angles: (a) tribe-emoney-audit (cross-domain audit trail) -> domain-cross; (b) Fact_CustomerAction history (per-customer activity audit) -> domain-customer-and-identity. CONTRACT: 'audit trail for [transaction|emoney|broker recon]' -> cross; 'audit trail for [customer|accountid|history]' -> customer-and-identity.
aum_aua,aum,domain-aum-and-aua,qualified_wins,domain-payments; domain-trading,,,"Dedicated hub for AUM/AUA. Niche platforms keep qualified forms ('moneyfarm AUM', 'spaceship AUM')."
niche_platform_spaceship,australian investment,domain-spaceship,primary_only,domain-revenue-and-fees,,,
niche_platform_moneyfarm,ben thompson,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
niche_platform_moneyfarm,benth,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
fees_revenue,bi_db_depositwithdrawfee,domain-revenue-and-fees,primary_only,domain-payments,,,
trading_concepts,bi_db_first5actions,domain-customer-and-identity,primary_only,domain-cross,,,First-5-actions = early lifecycle table; customer-and-identity owns.
niche_platform_moneyfarm,bi_output_moneyfarm_customers,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
niche_platform_moneyfarm,bi_output_moneyfarm_fact_portfolio_snapshot,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
niche_platform_moneyfarm,bi_output_moneyfarm_fact_transactions,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
money_flow_fiat,bincountry,domain-payments,primary_only,domain-revenue-and-fees,,,
money_flow_crypto,blockchaincryptoid,domain-exw-wallet,primary_only,domain-payments,,,
money_flow_crypto,blockchaintransactionid,domain-exw-wallet,primary_only,domain-payments,,,
niche_platform_moneyfarm,bronze_moneyfarm_users,domain-moneyfarm,primary_only,domain-revenue-and-fees,,,
niche_platform_spaceship,bronze_spaceship_metabase,domain-spaceship,primary_only,domain-revenue-and-fees,,,
wallet_infrastructure,bronze_walletdb_wallet,domain-exw-wallet,primary_only,domain-payments,,,
money_flow_crypto,c2f,domain-cross,primary_only,domain-exw-wallet; domain-payments; domain-revenue-and-fees,,,"C2F end-to-end story lives in domain-cross/crypto-to-fiat.md. Secondaries keep qualified forms ('C2F revenue', 'C2F leg')."
