column_name,wiki_path,line_no,object_kind,sql_path,sql_locator_confidence,primary_kind,primary_expr,branch_count,chain_steps,source_objects,current_desc,sql_verdict,verdict,severity,reason,proposed_fix,sql_clause_cited,self_critique,judge_status
IsBuy,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_OptionsPlatform.md,53,function,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Functions/BI_DB_dbo.Function_Revenue_OptionsPlatform.sql,direct,literal,1,0,0,,Source: — | Formula: 1,VERIFIED,PASS,,"The description states the formula is the literal 1, which matches the SQL expression `1 AS IsBuy`.",,1 AS IsBuy,,fresh
IsCopy,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Surveillance_ShortTermTrades.md,50,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_D_Compliance_Surveillance_ShortTermTrades.sql,sidecar,,,0,0,,"Trade type: 0 = self-directed (MirrorID = 0), 1 = copy trade (MirrorID > 0). 64.4% copy, 35.6% self-directed in current data",EXTRACTOR,UNVERIFIABLE,,extractor: INSERT col list has 33 entries but SELECT has only 1,,,,skipped
IsCopy,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Surveillance_Snapshot.md,52,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_D_Compliance_Surveillance_Snapshot.sql,sidecar,passthrough,[sn].[IsCopy],0,1,,"Trade type: 0 = self-directed (MirrorID = 0), 1 = copy trade (MirrorID > 0). 88.9% copy, 11.1% self-directed in current snapshot",UNVERIFIABLE,UNVERIFIABLE,,"The SQL is a passthrough from #Snapshot with no visible CASE/logic defining IsCopy, so the MirrorID derivation and distribution stats cannot be verified from the provided SQL alone.",,[sn].[IsCopy],,fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md,162,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_DDR_Fact_Revenue_Generating_Actions.sql,sidecar,passthrough,r.Amount,0,1,revenue,USD revenue amount aggregated per UNION/GROUP grain — sign reflects economic direction (negative dividend payouts retained). Populated strictly from enumerated TVF monetary columns summarized in **`§2.1`**. ****,UNVERIFIABLE,UNVERIFIABLE,,"The SQL is a simple passthrough (r.Amount from #revenue) whose upstream construction—UNION/GROUP aggregation, TVF monetary columns, sign conventions—is not visible in the provided snippets.",,r.Amount,,fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposits.md,102,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_H_Deposits.sql,grep_match,passthrough,a.[Amount],0,1,BI_DB_Deposits_updates,Deposit amount in the deposit currency (CurrencyID). Capped via CASE expression in upstream ETL to prevent extreme outlier values,UNVERIFIABLE,UNVERIFIABLE,,The SQL visible here is a simple passthrough of a.[Amount] with no CASE expression; the claimed CASE capping may exist further upstream in BI_DB_Deposits_updates but is not visible in the provided SQL chain.,,,"The CASE capping could exist in the ETL that populates #BI_DB_Deposits_updates, which is not shown here. | The description says 'upstream ETL' which may refer to a step beyond the visible SQL chain.",fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposit_Reversals_PIPs.md,106,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_Deposit_Reversals_PIPs.sql,name_match,case,"CASE WHEN NOT T.RollbackAmountInCurrency IS NULL THEN CAST(ISNULL(T.RollbackAmountInCurrency, 0) AS NUMERIC(16, 2)) END",0,1,,Rollback amount in original currency from External_etoro_Billing_DepositRollbackTracking.RollbackAmountInCurrency,UNVERIFIABLE,UNVERIFIABLE,,"The SQL subquery aliased as T is truncated, so the claimed upstream source External_etoro_Billing_DepositRollbackTracking.RollbackAmountInCurrency cannot be confirmed or denied from the visible SQL.",,,,fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_EY_Audit_BO_Deposits_With_PIPs.md,151,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_EY_Audit_BO_Deposits_With_PIPs.sql,name_match,passthrough,dwc.Amount,0,1,allDepsWithCBValid,"Deposit amount in the deposit currency (CurrencyID). CAST to DECIMAL(16,2) in SP",UNVERIFIABLE,UNVERIFIABLE,,"The SQL shows a passthrough of dwc.Amount from #allDepsWithCBValid with no visible CAST to DECIMAL(16,2); the CAST may occur upstream in the temp table population or in the stored procedure but is not visible in the provided snippets.",,,"The CAST to DECIMAL(16,2) could occur in the definition of #allDepsWithCBValid which is not shown here. | The description says 'in SP' meaning the CAST happens somewhere in the stored procedure, possibly before or after this SELECT.",fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_EY_Audit_Cashouts.md,148,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_EY_Audit_Deposit_Cashouts.sql,grep_match,passthrough,m.Amount,0,1,COsWithRefunds,"Position size in currency. Must be >= 0. Stored in dollars (PositionOpen divides by 100 from cents). DWH note: in this cashout-specific table, Amount represents the cashout/refund/chargeback amount for ActionTypeIDs 8, 11, 12, 13, 37 sourced from History.Credit via Fact_CustomerAction",UNVERIFIABLE,UNVERIFIABLE,,"The SQL is a simple passthrough (m.Amount from #COsWithRefunds) and no visible expression confirms or contradicts the upstream claims about History.Credit, Fact_CustomerAction, PositionOpen cent-to-dollar conversion, or the ActionTypeID filter.",,,,fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Fact_Customer_Action_Position_Distribution.md,168,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_Fact_Customer_Action_Position_Distribution.sql,name_match,passthrough,fca.Amount,0,1,DWH_dbo.Fact_CustomerAction,"Action amount in dollars. Passthrough from Fact_CustomerAction. Can be negative (e.g., overnight fee = -0.01)",VERIFIED,PASS,,The description says 'passthrough from Fact_CustomerAction' which matches fca.Amount sourced from DWH_dbo.Fact_CustomerAction; the claim about negative values and dollars is compatible with the unmodified numeric passthrough.,,fca.Amount,,fresh
Amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_LargeCashoutReport.md,157,table,SynapseSQLPool1/sql_dp_prod_we/BI_DB_dbo/Stored Procedures/BI_DB_dbo.SP_LargeCashoutReport.sql,name_match,passthrough,t.Amount,0,1,temp,"Gross withdrawal amount in USD (cast to int from money type in Billing.Withdraw). All rows ≥ $20,000 by population filter. Sample range: $20K to $374K as of 2026-04-12",UNVERIFIABLE,UNVERIFIABLE,,"The SQL is a passthrough (t.Amount from #temp) whose upstream population logic is not visible, so claims about casting from money type, sourcing from Billing.Withdraw, and the ≥$20K filter cannot be confirmed or denied.",,t.Amount,,fresh
