decision_id,column_name,target_dim,validation_status,n_affected,claimed_enum_block_example,current_desc_example,suggested_replacement,delusional_ids,mismatched_labels,missing_ids_from_canonical,target_dim_md,resolution_strategy,affected_targets_json,notes,decision,override_text
InstrumentTypeID__Dim_Instrument,InstrumentTypeID,Dim_Instrument,delusional,16,"1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto","From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to Dictionary.CurrencyType. Join-enriched via **`Dim_Instrument`** in **`SP_DDR_Fact_PnL`**. (Tier 1 — Trade.GetInstrument)",From IMD (InstrumentMetaData). Asset class. FK to Dim_Instrument. FK to Dictionary.CurrencyType. Join-enriched via **`Dim_Instrument`** in **`SP_DDR_Fact_PnL`**. (Tier 1 — Trade.GetInstrument),[999],"[{""id"": 1, ""claimed"": ""Currencies (forex"", ""canonical"": ""Currencies (153 instruments""}, {""id"": 1, ""claimed"": ""Currencies (forex"", ""canonical"": ""Currencies (153 instruments""}, {""id"": 1, ""claimed"": ""Currencies (forex"", ""canonical"": ""Currencies (153 instruments""}]","[0, 1, 2, 3, 4, 6, 7, 8, 9, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.md"", ""line_no"": 200, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 3=CFD; 4=Indices; 5=Stocks; 6=ETF; 7=Bonds; 8=TrustFunds; 9=Options; 10=Crypto""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md"", ""line_no"": 158, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 3=CFD; 4=Indices; 5=Stocks; 6=ETF; 7=Bonds; 8=TrustFunds; 9=Options; 10=Crypto""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Trading_Volumes_And_Amounts.md"", ""line_no"": 146, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 3=CFD; 4=Indices; 5=Stocks; 6=ETF; 7=Bonds; 8=TrustFunds; 9=Options; 10=Crypto""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_ASIC_MP.md"", ""line_no"": 58, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 5=Stocks""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_Panel_Reports_New.md"", ""line_no"": 158, ""claimed_pairs"": ""1=Currencies (forex; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Instrument_Overview.md"", ""line_no"": 139, ""claimed_pairs"": ""1=Currencies (forex; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Instruments_BidAndAsk.md"", ""line_no"": 113, ""claimed_pairs"": ""1=Currencies (forex; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MarketingCloudUserBehaviorInstrument.md"", ""line_no"": 153, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/Client_Balance_Breakdown_Instrument_Level.md"", ""line_no"": 145, ""claimed_pairs"": ""5=Stocks; 10=Crypto Currencies; 6=ETF""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/Compliance_BI_Leverage_Dashboard.md"", ""line_no"": 129, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto; 999=forex/other""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Daily_Slippage_Positions_HOLD.md"", ""line_no"": 115, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 5=Stocks""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Best_Execution_Compensation_CBH_HOLD.md"", ""line_no"": 116, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 5=Stocks""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Boundary_Cost.md"", ""line_no"": 196, ""claimed_pairs"": ""2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Clicks_OpenClose_Breakdown.md"", ""line_no"": 166, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 4=Indices; 5=Stocks; 6=ETF; 10=Crypto Currencies""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Daily_Slippage_Positions.md"", ""line_no"": 70, ""claimed_pairs"": ""1=Currencies; 5=Stocks; 6=ETF""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md"", ""line_no"": 143, ""claimed_pairs"": ""1=Currencies; 2=Commodities; 3=CFD; 4=Indices; 5=Stocks; 6=ETF; 7=Bonds; 8=TrustFunds; 9=Options; 10=Crypto""}]",,,
PaymentStatusID__Dim_PaymentStatus,PaymentStatusID,Dim_PaymentStatus,delusional,6,"1=New, 2=Approved, 3=Decline, 5=InProcess, 11=Chargeback, 12=Refund, 13=Pending, 35=DeclineByRRE","Current deposit status. Key values: 1=New, 2=Approved, 3=Decline, 5=InProcess, 11=Chargeback, 12=Refund, 13=Pending, 35=DeclineByRRE. (Tier 1 — Billing.Deposit)",Current deposit status. Key values. FK to Dim_PaymentStatus. (Tier 1 — Billing.Deposit),"[11, 12, 13, 26, 35, 37, 38, 39]",[],"[1, 2, 3, 4, 5, 6, 7]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposits.md"", ""line_no"": 99, ""claimed_pairs"": ""1=New; 2=Approved; 3=Decline; 5=InProcess; 11=Chargeback; 12=Refund; 13=Pending; 35=DeclineByRRE""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_EY_Audit_BO_Deposits_With_PIPs.md"", ""line_no"": 158, ""claimed_pairs"": ""1=New; 2=Approved; 3=Decline; 5=InProcess; 11=Chargeback; 12=Refund; 13=Pending; 35=DeclineByRRE""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/Synapse_Table_etoro_History_DepositAction.md"", ""line_no"": 108, ""claimed_pairs"": ""1=New; 2=Approved; 3=Decline; 4=Technical; 5=InProcess; 6=Canceled; 11=Chargeback; 12=Refund; 13=Pending; 26=RefundAsChargeback; 35=DeclineByRRE""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.md"", ""line_no"": 155, ""claimed_pairs"": ""1=New; 2=Approved; 35=DeclineByRRE""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Cashout_Rollback.md"", ""line_no"": 149, ""claimed_pairs"": ""1=New; 2=Approved; 3=Decline; 4=Technical; 5=InProcess; 6=Canceled; 7=Confirmed""}, {""wiki_md"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Deposit_State.md"", ""line_no"": 141, ""claimed_pairs"": ""12=Refund; 11=Chargeback; 37=ChargebackReversal; 38=RefundReversal; 39=[UNVERIFIED]; 3=Decline""}]",,,
CryptoId__Dim_Currency,CryptoId,Dim_Currency,delusional,4,"1=BTC, 2=ETH, 4=XRP, 18=ADA","Identifier for the cryptocurrency being transferred. Observed values include: 1=BTC, 2=ETH, 4=XRP, 18=ADA. Maps to the crypto asset dictionary in the wallet system. (Tier 3 — WalletDB.Wallet.AmlValidations, no upstream wiki located)","Identifier for the cryptocurrency being transferred. Observed values include. FK to Dim_Currency. Maps to the crypto asset dictionary in the wallet system. (Tier 3 — WalletDB.Wallet.AmlValidations, no upstream wiki located)","[18, 21, 27]","[{""id"": 1, ""claimed"": ""BTC"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""ETH"", ""canonical"": ""Commodity (533""}, {""id"": 4, ""claimed"": ""XRP"", ""canonical"": ""Indices (203""}, {""id"": 1, ""claimed"": ""BTC"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""ETH"", ""canonical"": ""Commodity (533""}, {""id"": 1, ""claimed"": ""Bitcoin"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""Ethereum"", ""canonical"": ""Commodity (533""}, {""id"": 6, ""claimed"": ""Litecoin"", ""canonical"": ""ETF (1""}, {""id"": 4, ""claimed"": ""XRP (689K rows"", ""canonical"": ""Indices (203""}, {""id"": 2, ""claimed"": ""ETH (452K"", ""canonical"": ""Commodity ","[0, 4, 5, 6, 8, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Currency.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/AmlValidations.md"", ""line_no"": 129, ""claimed_pairs"": ""1=BTC; 2=ETH; 4=XRP; 18=ADA""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/CustomerWalletsView.md"", ""line_no"": 125, ""claimed_pairs"": ""1=BTC; 2=ETH; 21=XLM""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/Requests.md"", ""line_no"": 123, ""claimed_pairs"": ""1=Bitcoin; 2=Ethereum; 6=Litecoin; 18=Cardano based on sample data""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/SentTransactions.md"", ""line_no"": 123, ""claimed_pairs"": ""4=XRP (689K rows; 2=ETH (452K; 1=BTC (366K; 21=XLM (119K; 6=LTC (73K; 27=TRX (50K""}]",,,
BlockchainCryptoId__Dim_Currency,BlockchainCryptoId,Dim_Currency,delusional,3,"1=BTC, 2=ETH, 4=XRP, 3=BCH, 6=LTC, 8=ETC, 18=ADA, 19=DOGE, 21=XLM, 23=EOS, 27=TRX, 64=SOL","Wallet-system internal integer ID for the crypto asset. 12 distinct values: 1=BTC, 2=ETH, 4=XRP, 3=BCH, 6=LTC, 8=ETC, 18=ADA, 19=DOGE, 21=XLM, 23=EOS, 27=TRX, 64=SOL. HASH distribution key. Part of the grouping key. (Tier 2 — SP_EXW_Inventory_Snapshot_History via EXW_WalletInventory)",Wallet-system internal integer ID for the crypto asset. 12 distinct values. FK to Dim_Currency. HASH distribution key. Part of the grouping key. (Tier 2 — SP_EXW_Inventory_Snapshot_History via EXW_WalletInventory),"[3, 18, 19, 21, 23, 27, 64]","[{""id"": 1, ""claimed"": ""BTC"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""ETH"", ""canonical"": ""Commodity (533""}, {""id"": 4, ""claimed"": ""XRP"", ""canonical"": ""Indices (203""}, {""id"": 6, ""claimed"": ""LTC"", ""canonical"": ""ETF (1""}, {""id"": 8, ""claimed"": ""ETC"", ""canonical"": ""major forex currencies""}, {""id"": 1, ""claimed"": ""Bitcoin"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""Ethereum"", ""canonical"": ""Commodity (533""}, {""id"": 6, ""claimed"": ""Litecoin"", ""canonical"": ""ETF (1""}, {""id"": 1, ""claimed"": ""BTC"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""ETH"", ""canonical"": ""Commodity (533""}, {""id"": ","[0, 4, 5, 8, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Currency.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_Inventory_Snapshot_History.md"", ""line_no"": 143, ""claimed_pairs"": ""1=BTC; 2=ETH; 4=XRP; 3=BCH; 6=LTC; 8=ETC; 18=ADA; 19=DOGE; 21=XLM; 23=EOS; 27=TRX; 64=SOL""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/CustomerWalletsView.md"", ""line_no"": 133, ""claimed_pairs"": ""1=Bitcoin; 2=Ethereum; 6=Litecoin; 18=Cardano; 21=Stellar""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/Wallets.md"", ""line_no"": 111, ""claimed_pairs"": ""1=BTC; 2=ETH; 3=BCH; 4=XRP; 6=LTC; 8=ETC; 18=ADA; 19=DOGE; 21=XLM; 23=EOS; 27=TRX; 64=SOL""}]",,,
CurrencyID__Dim_Currency,CurrencyID,Dim_Currency,delusional,3,"1=USD, 2=EUR, 3=GBP","Currency of the deposit amount. 1=USD, 2=EUR, 3=GBP, etc. (Tier 1 — Billing.Deposit)",Currency of the deposit amount. FK to Dim_Currency. etc. (Tier 1 — Billing.Deposit),[3],"[{""id"": 1, ""claimed"": ""USD"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""EUR"", ""canonical"": ""Commodity (533""}, {""id"": 1, ""claimed"": ""USD"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""EUR"", ""canonical"": ""Commodity (533""}, {""id"": 5, ""claimed"": ""AUD"", ""canonical"": ""Stocks (13""}, {""id"": 6, ""claimed"": ""CHF"", ""canonical"": ""ETF (1""}, {""id"": 1, ""claimed"": ""USD"", ""canonical"": ""Forex (174""}, {""id"": 2, ""claimed"": ""EUR"", ""canonical"": ""Commodity (533""}]","[0, 4, 5, 6, 8, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Currency.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposits.md"", ""line_no"": 98, ""claimed_pairs"": ""1=USD; 2=EUR; 3=GBP""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_EY_Audit_BO_Deposits_With_PIPs.md"", ""line_no"": 159, ""claimed_pairs"": ""1=USD; 2=EUR; 5=AUD; 6=CHF""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Operations_Monthly_KPIs_Wires.md"", ""line_no"": 132, ""claimed_pairs"": ""1=USD; 2=EUR; 3=GBP""}]",,,
InstrumentID__Dim_Instrument,InstrumentID,Dim_Instrument,delusional,3,"100001=ETH, 100017=ADA, 100026=TRX, 100063=SOL","Crypto instrument identifier (100xxx range). E.g., 100001=ETH, 100017=ADA, 100026=TRX, 100063=SOL. (Tier 3 — live data)",Crypto instrument identifier (100xxx range). E.g. FK to Dim_Instrument. (Tier 3 — live data),"[27, 28, 29, 32, 100001, 100017, 100026, 100063]",[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Staking_Parameters.md"", ""line_no"": 66, ""claimed_pairs"": ""100001=ETH; 100017=ADA; 100026=TRX; 100063=SOL""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/DSC_HedgeOnIndices.md"", ""line_no"": 118, ""claimed_pairs"": ""27=SPX500/USD; 28=NSDQ100/USD; 29=DJ30/USD; 32=GER30/EUR""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/DSC_HedgeOnIndices_H.md"", ""line_no"": 109, ""claimed_pairs"": ""27=SPX500/USD; 28=NSDQ100/USD; 29=DJ30/USD; 32=GER30/EUR""}]",,,
TransactionCode__Dim_PaymentStatus,TransactionCode,Dim_PaymentStatus,delusional,3,"57=bank-in external, 56/58=bank-out external, 59=bank-in external (alt), 11=debit adjustment, 66=banking return, 68=bank-in external (rare","Tribe internal transaction type code. Observed values: 57=bank-in external, 56/58=bank-out external, 59=bank-in external (alt), 11=debit adjustment, 66=banking return, 68=bank-in external (rare). Input to BankActivityType CASE expression. Excluded codes: 6,14,15,24,25,64. (Tier 2 — SP_eMoney_Reconciliation_ETLs)","Tribe internal transaction type code. Observed values. FK to Dim_PaymentStatus. ). Input to BankActivityType CASE expression. Excluded codes: 6,14,15,24,25,64. (Tier 2 — SP_eMoney_Reconciliation_ETLs)","[9, 11, 12, 17, 26, 43, 56, 57, 58, 59, 66, 68]","[{""id"": 1, ""claimed"": ""LOAD"", ""canonical"": ""New""}, {""id"": 2, ""claimed"": ""POS"", ""canonical"": ""Approved""}, {""id"": 4, ""claimed"": ""UNLOAD"", ""canonical"": ""Technical""}, {""id"": 2, ""claimed"": ""POS"", ""canonical"": ""Approved""}, {""id"": 3, ""claimed"": ""ATM"", ""canonical"": ""Decline""}, {""id"": 6, ""claimed"": ""BALANCE_INQUIRY"", ""canonical"": ""Canceled""}]","[1, 2, 3, 4, 5, 6, 7]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_BankPaymentsUK.md"", ""line_no"": 140, ""claimed_pairs"": ""57=bank-in external; 58=bank-out external; 59=bank-in external (alt; 11=debit adjustment; 66=banking return; 68=bank-in external (rare""}, {""wiki_md"": ""knowledge/synapse/Wiki/eMoney_Tribe/Tables/AccountsActivities_AccountActivity-833937.md"", ""line_no"": 164, ""claimed_pairs"": ""1=LOAD; 2=POS; 4=UNLOAD; 56=EPM_OUTBOUND; 57=EPM_INBOUND""}, {""wiki_md"": ""knowledge/synapse/Wiki/eMoney_Tribe/Tables/Authorizes_Authorize-312243.md"", ""line_no"": 168, ""claimed_pairs"": ""2=POS; 3=ATM; 6=BALANCE_INQUIRY; 9=QUASI; 12=REFUND; 17=POS_VERIFICATION; 26=P2P_ACCOUNT_TO_ACCOUNT_DEBIT; 43=P2P_ONLINE_GAMING_GAMBLING_CREDIT""}]",,,
TransactionTypeId__Dim_FundingType,TransactionTypeId,Dim_FundingType,delusional,3,"0=Redeem, 5=ConversionMoneyIn, 6=ConversionMoneyOut, 7=Payment, 8=RedeemAsic, 9=Staking. Also observed in live data: 1=CustomerMoneyOut, 2=AmlMoneyBack, 4=Funding, 10=BlockChainActivation, 11=OmnibusMoneyOut, 12=ConversionToFiat, 13=ManualUserMoneyOut, 14=StakeAndRewardsRefund, 15=CustomerMoneyBack","Sent transaction type. Core types: 0=Redeem, 5=ConversionMoneyIn, 6=ConversionMoneyOut, 7=Payment, 8=RedeemAsic, 9=Staking. Also observed in live data: 1=CustomerMoneyOut, 2=AmlMoneyBack, 4=Funding, 10=BlockChainActivation, 11=OmnibusMoneyOut, 12=ConversionToFiat, 13=ManualUserMoneyOut, 14=StakeAndRewardsRefund, 15=CustomerMoneyBack. NULL for received transactions. FK to Dictionary.TransactionTypes in WalletDB. (Tier 1 — Wallet.TransactionsView)",Sent transaction type. Core types. FK to Dim_FundingType. NULL for received transactions. FK to Dictionary.TransactionTypes in WalletDB. (Tier 1 — Wallet.TransactionsView),"[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[{""id"": 0, ""claimed"": ""Redeem"", ""canonical"": ""can be saved""}, {""id"": 1, ""claimed"": ""CustomerMoneyOut"", ""canonical"": ""single-use""}, {""id"": 0, ""claimed"": ""Redeem"", ""canonical"": ""can be saved""}, {""id"": 1, ""claimed"": ""MoneyOut"", ""canonical"": ""single-use""}, {""id"": 0, ""claimed"": ""Redeem"", ""canonical"": ""can be saved""}, {""id"": 1, ""claimed"": ""CustomerMoneyOut"", ""canonical"": ""single-use""}]",[],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_FundingType.md,irregular_map,"[{""wiki_md"": ""knowledge/synapse/Wiki/EXW_dbo/External Tables/External_WalletDB_Wallet_TransactionsView.md"", ""line_no"": 134, ""claimed_pairs"": ""0=Redeem; 5=ConversionMoneyIn; 6=ConversionMoneyOut; 7=Payment; 8=RedeemAsic; 9=Staking; 1=CustomerMoneyOut; 2=AmlMoneyBack; 4=Funding; 10=BlockChainActivation; 11=OmnibusMoneyOut; 12=ConversionToFiat; 13=ManualUserMoneyOut; 14=StakeAndRewardsRefund; 15=CustomerMoneyBack""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_dbo/Tables/Hourly_Transactions.md"", ""line_no"": 123, ""claimed_pairs"": ""0=Redeem; 1=MoneyOut; 2=AmlBack; 4=Funding; 5=ConvFromCustomer; 6=ConvFromOmnibus""}, {""wiki_md"": ""knowledge/synapse/Wiki/EXW_Wallet/Tables/SentTransactions.md"", ""line_no"": 121, ""claimed_pairs"": ""0=Redeem; 1=CustomerMoneyOut; 2=AmlMoneyBack; 4=Funding; 5=ConversionMoneyIn; 6=ConversionMoneyOut; 7=Payment; 8=RedeemAsic; 9=Staking; 10=BlockChainActivation; 11=OmnibusMoneyOut; 12=ConversionToFiat; 13=ManualUserMoneyOut; 14=StakeAndRewardsRefund""}]",,,
ActionTypeID__Dim_ActionType,ActionTypeID,Dim_ActionType,delusional,2,"1=ManualPositionOpen, 2=CopyPositionOpen, 3=CopyPlusPositionOpen, 4=ManualPositionClose","Social action classification. 1=ManualPositionOpen, 2=CopyPositionOpen, 3=CopyPlusPositionOpen, 4=ManualPositionClose, 5=CopyPositionClose (BI_DB_Social_Activity_Type). Derived via CASE on Streams TypeName: Discussion→1, Comment→2, Like→3, Discussion+SharedEntryId→4, other entry types→5. (Tier 2 — Streams_dbo_Entries_Social_Activity_Daily)","Social action classification. FK to Dim_ActionType. 5=CopyPositionClose (BI_DB_Social_Activity_Type). Derived via CASE on Streams TypeName: Discussion→1, Comment→2, Like→3, Discussion+SharedEntryId→4, other entry types→5. (Tier 2 — Streams_dbo_Entries_Social_Activity_Daily)","[1, 2, 3, 4, 5, 14]","[{""id"": 0, ""claimed"": ""Manual Close"", ""canonical"": ""N/A sentinel""}]",[0],knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ActionType.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.md"", ""line_no"": 137, ""claimed_pairs"": ""1=ManualPositionOpen; 2=CopyPositionOpen; 3=CopyPlusPositionOpen; 4=ManualPositionClose""}, {""wiki_md"": ""knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Daily_Slippage_Positions_TriggerVSReceived.md"", ""line_no"": 130, ""claimed_pairs"": ""0=Manual Close; 1=Stop Loss; 5=Take Profit; 14=ManualCloseMirror""}]",,,
CashoutStatusID__Dim_CashoutStatus,CashoutStatusID,Dim_CashoutStatus,delusional,2,"1=Pending, 2=InProcess, 3=Processed, 4=Canceled","Current withdrawal status. FK to Dictionary.CashoutStatus. 10 distinct values: 1=Pending, 2=InProcess, 3=Processed, 4=Canceled. Passthrough from Billing.Withdraw. Cancelled (4) excluded from population. (Tier 1 — Billing.Withdraw)",Current withdrawal status. FK to Dictionary.CashoutStatus. 10 distinct values. FK to Dim_CashoutStatus. Passthrough from Billing.Withdraw. Cancelled (4) excluded from population. (Tier 1 — Billing.Withdraw),"[5, 7]",[],"[0, 4]",knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,heuristic_<X>ID,"[{""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_HourlyReport_Redeems.md"", ""line_no"": 136, ""claimed_pairs"": ""1=Pending; 2=InProcess; 3=Processed; 4=Canceled""}, {""wiki_md"": ""knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_HourlyReport_Withdraws.md"", ""line_no"": 134, ""claimed_pairs"": ""1=Pending; 2=InProcess; 3=Processed; 5=Partially Processed; 7=Rejected""}]",,,
