correction_id,target,wiki_path,column_name,status,edited_line_no,old_desc,new_desc,notes
Dim_PlayerStatus.CanDeposit,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_aum.md,CanDeposit,dry_run,287,"Computed in source (transform kind not classified). Formula: `,IsLastDayYear ,PlayerLevelID ,Name AS ClubTier ,RegulationID ,Name AS Regulation ,VerificationLevelID ,Name AS VerificationLevel ,fs…`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel`, `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation`, `main.bi_output.bi_output_vg_date` (+2 more))","Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only/pending statuses (9, 13, 15), status 10 (Deposit Blocked), and status 11 (Social Index).",cascade from knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md.CanDeposit
V_Fact_SnapshotCustomer_FromDateID.AccountManagerID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_aum.md,AccountManagerID,dry_run,268,"Computed in source (transform kind not classified). Formula: `,RealizedEquityTP AS RealizedEquityTradingPlatform ,TotalPositionPNL ,TotalInvestedAmount ,TotalEquityTP AS EquityTradingPlatform ,CashInCopy ,InvestedAmountCopy ,EquityCopy …`. (Tier 2 — literal)",Assigned account manager (sales/retention). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.AccountManagerID (BO). FK to Dim_Manager. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.AccountManagerID
V_Fact_SnapshotCustomer_FromDateID.CommunicationLanguageID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_aum.md,CommunicationLanguageID,dry_run,272,"Computed in source (transform kind not classified). Formula: `,CashInCopy ,InvestedAmountCopy ,EquityCopy ,EquityStocksManual ,InvestedAmountStocksManual ,InvestedAmountCryptoManual ,CreditTP BalanceTradingPlatfrom ,IBANBalance BalanceI…`. (Tier 2 — literal)",Preferred communication language (may differ from interface language). DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.CommunicationLanguageID (CC). FK to Dim_Language. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.CommunicationLanguageID
V_Fact_SnapshotCustomer_FromDateID.RegulationID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_aum.md,RegulationID,dry_run,261,"Computed in source (transform kind not classified). Formula: `,DateID ,Date ,WeekNumberYear ,CalendarYearMonth ,CalendarQuarter ,CalendarYear ,RealizedEquityTP AS RealizedEquityTradingPlatform ,TotalPositionPNL ,TotalI…`. (Tier 2 — from `main.bi_output.bi_output_vg_date`)",Customer's assigned regulatory jurisdiction. DEFAULT 0. Sourced from Ext_FSC_BackOffice_RegulationChangeLog.ToRegulationID — end-of-day change. See §2.4. FK to Dim_Regulation. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.RegulationID
Dim_PlayerStatus.CanDeposit,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club.md,CanDeposit,dry_run,307,Direct passthrough from upstream. Formula: `CanDeposit`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus`),"Whether the user can add funds to their account. False for full-block statuses (IsBlocked=1), close-only/pending statuses (9, 13, 15), status 10 (Deposit Blocked), and status 11 (Social Index).",cascade from knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md.CanDeposit
V_Fact_SnapshotCustomer_FromDateID.AccountManagerID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club.md,AccountManagerID,dry_run,287,Direct passthrough from upstream. Formula: `AccountManagerID`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked`),Assigned account manager (sales/retention). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.AccountManagerID (BO). FK to Dim_Manager. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.AccountManagerID
V_Fact_SnapshotCustomer_FromDateID.CommunicationLanguageID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club.md,CommunicationLanguageID,dry_run,291,Direct passthrough from upstream. Formula: `CommunicationLanguageID`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked`),Preferred communication language (may differ from interface language). DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.CommunicationLanguageID (CC). FK to Dim_Language. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.CommunicationLanguageID
V_Fact_SnapshotCustomer_FromDateID.RegulationID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club.md,RegulationID,dry_run,280,Direct passthrough from upstream. Formula: `RegulationID`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked`),Customer's assigned regulatory jurisdiction. DEFAULT 0. Sourced from Ext_FSC_BackOffice_RegulationChangeLog.ToRegulationID — end-of-day change. See §2.4. FK to Dim_Regulation. (Tier 2 — via Fact_SnapshotCustomer),cascade from knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md.RegulationID
Dim_Customer.AccountStatusID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club_offers.md,AccountStatusID,dry_run,287,"Computed in source (transform kind not classified). Formula: `,IsEligbleOnRequest ,RequestedBy ,Active ,PlayerLevelID ,Name AS ClubTier ,RegulationID ,Name AS Regulation ,VerificationLevelID ,Name AS VerificationLevel ,…`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel`, `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation`, `main.bi_output_stg.bi_output_customer_customer_facing_club_club_offer_eligibilty` (+2 more))",Account operational status. Default=0. SP_Dim_Customer converts NULLs to 0 via ISNULL.,cascade from knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md.AccountStatusID
Dim_Customer.MifidCategorizationID,cascade-uc,knowledge/UC_generated/bi_output/Views/bi_output_vg_club_offers.md,IsPro,dry_run,286,"`IsPro` discriminator: `MifidCategorizationID IN (2,3)` → set to 1 else 0. Formula: `,ClaimedDate ,IsEligbleOnRequest ,RequestedBy ,Active ,PlayerLevelID ,Name AS ClubTier ,RegulationID ,Name AS Regulation ,VerificationLevelID ,Name AS Ve…`. (Tier 2 — from `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel`, `main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation`, `main.bi_output_stg.bi_output_customer_customer_facing_club_club_offer_eligibilty` (+2 more))","MiFID II investor classification. FK to Dictionary.MifidCategorization. Values: 1=Retail (97.3%), 4=Eligible Counterparty (2.6%), 5=Professional (0.03%). Default=1.",cascade from knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md.MifidCategorizationID
