schema,table,column,ordinal,current_len,current_rich,is_trivial,bucket,action,reason,wiki_path,wiki_len,wiki_rich,best_sibling_path,best_sibling_len,best_sibling_rich,current_comment,wiki_cell,best_sibling_cell
finance,bi_output_finance_uploads_accountdetails,Account Name,0,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
finance,bi_output_finance_uploads_accountdetails,Source,1,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_Compliance_Restriction_Lists_Countries.md has 239ch r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Restriction_Lists_Countries.md,239,0,,,Always NULL — SP INSERT omits this column despite it existing in both the DDL and External Table source (source field). Intended to document the origin of each restriction list entry. (Tier 2 — SP_CID_Compliance_CID_And_Country_Risk_Lists)
finance,bi_output_finance_uploads_accountdetails,Entity,2,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_Deposit_Reversals_PIPs.md has 191ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Deposit_Reversals_PIPs.md,191,3,,,"Merchant entity description. Complex CASE: FundingTypeID=2 → BPMSDescription; DepotID IN (78,79,80,4,75,86) → merchant BODescription; ELSE COALESCE chain. (Tier 2 — SP_Deposit_Reversals_PIPs)"
finance,bi_output_finance_uploads_accountdetails,Real / Nostro,3,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
finance,bi_output_finance_uploads_accountdetails,Storage,4,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
finance,bronze_cmrdb_dbo_dailytask,Id,0,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BlockchainCryptos.md has 397ch r=5,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/BlockchainCryptos.md,397,5,,,"Unique blockchain network identifier. Manually assigned (not IDENTITY) to maintain stable IDs across environments. Referenced by Wallet.CryptoTypes, Wallet.Wallets, Wallet.WalletPool, and Wallet.BlockchainCryptoProviders as BlockchainCryptoId. Gaps exist in sequence (e.g., 5, 7 missing) - likely reserved IDs for blockchains that were planned but not launched. (Tier 1 — Wallet.BlockchainCryptos)"
finance,bronze_cmrdb_dbo_dailytask,ReconciliationTypeCode,1,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
finance,bronze_cmrdb_dbo_dailytask,CompanyCode,2,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
finance,bronze_cmrdb_dbo_dailytask,ReconciliationDate,3,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling SettlementsTransactions_SettlementTransaction-637239.md has 175ch r=1,,0,0,knowledge/synapse/Wiki/eMoney_Tribe/Tables/SettlementsTransactions_SettlementTransaction-637239.md,175,1,,,"Date when the transaction was reconciled. Often empty in sampled data. Passed through to ETL_SettlementsTransactions. (Tier 3 — FiatDwhDB.Tribe, no upstream column-level wiki)"
finance,bronze_cmrdb_dbo_dailytask,CopyDataStage,4,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
