correction_id,target,wiki_path,column_name,status,edited_line_no,old_desc,new_desc,notes
Dim_ActionType.CategoryID,cascade-skills,.cursor/rules/dwh-semantic-doc/01-structure-analysis.mdc,CategoryID,skipped_no_match,0,,"Integer code grouping multiple action types into business categories (values 0–28). Used in SP_Validation_Cycle_Gap_DL_To_Synapse MINO filter: CategoryID IN (2,4,6,7,8,12,17,20,21,19) — note that 23 (Reverse cashout) is commented out in the current SP code.",column row not parsed
Dim_Position.CurrencyID,cascade-skills,.cursor/rules/dwh-semantic-doc/01-structure-analysis.mdc,CurrencyID,skipped_no_match,0,,FK to Dictionary.Currency (the universal instrument registry). Identifies which financial instrument the position is on — not a denomination currency despite the legacy column name.,column row not parsed
Dim_Instrument.Name,cascade-skills,.cursor/rules/dwh-semantic-doc/02-live-data-sampling.mdc,Name,skipped_no_match,0,,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels.",column row not parsed
Dim_PaymentStatus.PaymentStatusID,cascade-skills,.cursor/rules/dwh-semantic-doc/02-live-data-sampling.mdc,PaymentStatusID,skipped_no_match,0,,"Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. See Payment Status glossary. (Tier 1 - Dictionary.PaymentStatus)",column row not parsed
Dim_AccountType.AccountTypeID,cascade-skills,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,AccountTypeID,skipped_no_match,0,,"Primary key identifying the account classification. Production source (Dictionary.AccountType) defines 17 categories (1=Private through 17=Funded Employee Account); 0 is a DWH placeholder. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID.",column row not parsed
Dim_BonusType.IsActive,cascade-skills,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,IsActive,skipped_no_match,0,,"Whether this bonus type is still in active use. 0=deprecated (should not be assigned to new bonuses). Active=0 types: 17=Refill-Negative Balance, 23=Championship Winner Demo. All other 68 types are IsActive=1 (Tier 1 - BackOffice.BonusType)",column row not parsed
Dim_Campaign.Code,cascade-skills,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,Code,skipped_no_match,0,,"Unique public-facing campaign code (e.g., ""20coupon"", ""freecopyref""). The identifier customers enter at registration. UNIQUE index. Auto-generated 6-char random string if not supplied. (Tier 1 - BackOffice.Campaign)",column row not parsed
Dim_Instrument.Name,cascade-skills,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,Name,skipped_no_match,0,,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels.",column row not parsed
Dim_PaymentStatus.PaymentStatusID,cascade-skills,.cursor/rules/dwh-semantic-doc/04-lookup-resolution.mdc,PaymentStatusID,skipped_no_match,0,,"Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. See Payment Status glossary. (Tier 1 - Dictionary.PaymentStatus)",column row not parsed
Dim_BillingDepot.FundingTypeID,cascade-skills,.cursor/rules/dwh-semantic-doc/09-procedure-logic-extraction.mdc,FundingTypeID,skipped_no_match,0,,"Payment method type (e.g., 1=CreditCard, 6=Wire, 7=PayPal). References Dictionary.FundingType. 38 distinct values across 163 depots.",column row not parsed
Dim_Country.Region,cascade-skills,.cursor/rules/dwh-semantic-doc/10.5b-tier1-enforcement.mdc,Region,skipped_no_match,0,,"Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",column row not parsed
Dim_Instrument.Name,cascade-skills,.cursor/rules/dwh-semantic-doc/10.5b-tier1-enforcement.mdc,Name,skipped_no_match,0,,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels.",column row not parsed
Fact_CustomerAction.PositionID,cascade-skills,.cursor/rules/dwh-semantic-doc/10.5b-tier1-enforcement.mdc,PositionID,skipped_no_match,0,,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in both open and close rows.",column row not parsed
Dim_Country.Region,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,Region,skipped_no_match,0,,"Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",column row not parsed
Dim_Instrument.Name,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,Name,skipped_no_match,0,,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels.",column row not parsed
Dim_PaymentStatus.PaymentStatusID,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,PaymentStatusID,skipped_no_match,0,,"Primary key identifying the payment state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Failed, 6=Reversed, 7=CompletedExternally. See Payment Status glossary. (Tier 1 - Dictionary.PaymentStatus)",column row not parsed
Dim_Position.CurrencyID,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,CurrencyID,skipped_no_match,0,,FK to Dictionary.Currency (the universal instrument registry). Identifies which financial instrument the position is on — not a denomination currency despite the legacy column name.,column row not parsed
Dim_Position.TreeID,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,TreeID,skipped_no_match,0,,SL/TP/TSL settings for the position; also used as linkage key in Trade.PositionTreeInfo hierarchy (Tier 1 - Trade.PositionTbl wiki),column row not parsed
Dim_Regulation.ID,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,ID,skipped_no_match,0,,"Primary key identifying the regulation. 0=None, 1=CySEC, 2=FCA, 3=NFA, 4=ASIC, 5=BVI, 6=eToroUS, 7=FinCEN, 8=FinCEN+FINRA, 9=FSA Seychelles, 10=ASIC&GAML, 11=FSRA, 12=FINRAONLY, 14=NYDFSFINRA. ID 13 is skipped (Tier 1 - Dictionary.Regulation)",column row not parsed
Fact_CustomerAction.PositionID,cascade-skills,.cursor/rules/dwh-semantic-doc/11-generate-documentation.mdc,PositionID,skipped_no_match,0,,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in both open and close rows.",column row not parsed
Fact_CustomerAction.PositionID,cascade-skills,.cursor/rules/dwh-semantic-doc/11w-write-objects.mdc,PositionID,skipped_no_match,0,,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in both open and close rows.",column row not parsed
V_Fact_SnapshotEquity.CID,cascade-skills,.cursor/rules/dwh-semantic-doc/11w-write-objects.mdc,CID,skipped_no_match,0,,Customer ID. Grouping key for all equity aggregations. FK to Dim_Customer (CID = RealCID). HASH distribution key and part of PK. (Tier 2 — via Fact_SnapshotEquity),column row not parsed
V_Fact_SnapshotEquity.Credit,cascade-skills,.cursor/rules/dwh-semantic-doc/11w-write-objects.mdc,Credit,skipped_no_match,0,,"Outstanding credit/bonus balance from History.ActiveCredit. Last credit event per CID per day (selected via ROW_NUMBER partition by CID, ordered by Occurred DESC, CreditID DESC). Negative values represent outstanding obligations. (Tier 2 — via Fact_SnapshotEquity)",column row not parsed
V_Fact_SnapshotEquity.UpdateDate,cascade-skills,.cursor/rules/dwh-semantic-doc/11w-write-objects.mdc,UpdateDate,skipped_no_match,0,,ETL load timestamp (GETDATE() at MERGE/INSERT time). Used for detecting recent updates in the year-end carryover and IsSettled change handling. (Tier 2 — via Fact_SnapshotEquity),column row not parsed
Fact_CustomerAction.PositionID,cascade-skills,.cursor/rules/dwh-semantic-doc/13-production-lineage-mapping.mdc,PositionID,skipped_no_match,0,,"Position identifier from the source trading system. NOT a primary key of this table — defaults to 0 for non-position events, and the same PositionID appears in both open and close rows.",column row not parsed
