correction_id,wiki_path,wiki_object,column_name,current_desc,source_wiki,source_desc,new_audit_verdict,new_audit_severity,new_audit_layer,new_audit_proposed_fix,old_judge_verdict,old_judge_contradicting_fact,old_judge_suggested_rewrite,conflict_flag,final_proposed_fix,narrative_review_needed,notes
Dim_CashoutStatus.CashoutStatusID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,Dim_CashoutStatus,CashoutStatusID,"Primary key. DWH values: 0=N/A (placeholder), 1=Pending, 2=InProcess, 3=Processed, 4=Canceled. Note: production has 17 states (IDs 5-17 missing from DWH). Stored in withdrawal request records and updated as requests progress",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CashoutStatus.md,"Primary key identifying the withdrawal lifecycle state. 1=Pending, 2=InProcess, 3=Processed, 4=Canceled, 5=Partially Processed, 6=Payment Sent, 7=Rejected, 8=RejectedByProvider, 9=PendingByProvider, 10=SentToProvider, 11=SentToBilling, 12=ReceivedByBilling, 13=Failed, 14=Pending Review, 15=Under Review, 16=Reversed, 17=Partially Reversed. See [Cashout Status](_glossary.md#cashout-status). (Dictionary.CashoutStatus)",FAIL,MEDIUM,L2-semantic,Primary key identifying withdrawal lifecycle state (17 values: 1=Pending through 17=Partially Reversed; 0=N/A is a DWH placeholder). See glossary for full mapping. (Tier 1 - Dictionary.CashoutStatus),WRONG,"SELECT 
[CashoutStatusID]
,[Name]
,[CashoutStatusID] as [DWHCashoutStatusID]
,1 as StatusID
,getdate()
,getdate()
FROM [DWH_staging].[etoro_Dictionary_CashoutStatus]","Primary key identifying the cashout status. Loaded via full TRUNCATE+INSERT from [DWH_staging].[etoro_Dictionary_CashoutStatus] with no filter, so all production statuses (17 states) are present in the DWH.",TRUE,Primary key identifying withdrawal lifecycle state (17 values: 1=Pending through 17=Partially Reversed; 0=N/A is a DWH placeholder). See glossary for full mapping. (Tier 1 - Dictionary.CashoutStatus),FALSE,audit vs judge disagree
Dim_ClosePositionReason.ClosePositionReasonID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,Dim_ClosePositionReason,ClosePositionReasonID,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=SL via trade server, 4=Return to Market, 5=Take Profit, 6=TP via trade server, 7=Contact Rollover, 8=BackOffice, 9=Hierarchical Close, 10=Hierarchical close by recovery, 11=Join Demo Challenge, 12=Close All, 13=Copy Stop Loss, 14=Mirror manual, 15=Manual Liquidation, 16=BSL, 17=Manual Unregister, 18=BackOffice Unregister, 19=Redeem, 20=Operational adjustment, 21=Orphaned, 22=Transferred Out, 23=Alignment, 24=Delist, 25=Close by rate, 26=Expiry. Stored permanently with every closed position",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ClosePositionActionType.md,,FAIL,LOW,L0-unresolved,,WRONG,7: Contract Rollover,"Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",TRUE,"Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",FALSE,audit vs judge disagree
Dim_Country.MarketingRegionID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,Dim_Country,MarketingRegionID,FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Country.md,"FK to Dictionary.MarketingRegion. Segments countries for marketing campaigns. Distinct from geographic Region — MarketingRegion groups by marketing strategy (e.g., ""Arabic"" cuts across Asia/Africa regions)",FAIL,LOW,L2-semantic,FK to Dictionary.MarketingRegion. Segments countries by marketing strategy (e.g. 'Arabic' cuts across Asia/Africa regions). Distinct from geographic RegionID. (Tier 1 - Dictionary.Country),WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.","FK to Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is not carried into the DWH). 21 defined values (0=Unknown through 99=eToro, with gaps).",TRUE,FK to Dictionary.MarketingRegion. Segments countries by marketing strategy (e.g. 'Arabic' cuts across Asia/Africa regions). Distinct from geographic RegionID. (Tier 1 - Dictionary.Country),FALSE,audit vs judge disagree
Dim_CountryBin.BinCode,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md,Dim_CountryBin,BinCode,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CountryBin6.md,"6-digit BIN (must be < 10,000,000 per CHK_CountryBin6). Part of composite PK. Indexed by IX_DCNB_Bincode",FAIL,MEDIUM,L2-semantic,"6-digit Bank Identification Number (BIN) identifying the issuing bank; constrained to values < 10,000,000 per CHK_CountryBin6. Part of composite PK and indexed by IX_DCNB_Bincode (Tier 1 - Dictionary.CountryBin6)",WRONG,The CHECK constraint (BinCode < 10000000) ensures only 6-digit BINs are stored here. BINs of 8 digits or more belong in Dictionary.CountryBin8.,"Bank Identification Number (6-digit). First 6 digits of the card number identifying the issuing bank and card product. Part of the composite primary key with CountryID. Source upstream table enforces BinCode < 10,000,000 via CHECK constraint; 8-digit BINs are stored separately in Dictionary.CountryBin8.",TRUE,"6-digit Bank Identification Number (BIN) identifying the issuing bank; constrained to values < 10,000,000 per CHK_CountryBin6. Part of composite PK and indexed by IX_DCNB_Bincode (Tier 1 - Dictionary.CountryBin6)",FALSE,audit vs judge disagree
Dim_CreditType.CreditTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CreditType.md,Dim_CreditType,CreditTypeID,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations, 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CreditType.md,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB Sync, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations, 29-30=Stock Orders, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback",FAIL,LOW,L2-semantic,Financial operation type identifier (1-33). Classifies every balance change: ...29-30=Stock Orders... (Tier 1 - Dictionary.CreditType),WRONG,"Copy Trading / Mirror (18-28): Mirror allocations, de-allocations, hierarchical operations, detachment from mirrors","Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations (allocations, de-allocations, detachments), 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback.",TRUE,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations (allocations, de-allocations, detachments), 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback.",FALSE,prefer old judge (cites source verbatim)
Dim_Customer.AffiliateID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.md,Dim_Customer,AffiliateID,Affiliate (partner) ID under which the customer was acquired (renamed from SerialID). FK to BackOffice.Affiliate. NULL for direct/organic registrations,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,,FAIL,LOW,L0-unresolved,,WRONG,"ISNULL(AffiliateID,0) AS AffiliateID",Affiliate (partner) ID under which the customer was acquired (mapped from SerialID). FK to BackOffice.Affiliate. 0 for direct/organic registrations (NULLs are converted to 0 by SP_Dim_Customer).,TRUE,Affiliate (partner) ID under which the customer was acquired (mapped from SerialID). FK to BackOffice.Affiliate. 0 for direct/organic registrations (NULLs are converted to 0 by SP_Dim_Customer).,FALSE,audit vs judge disagree
Dim_PlayerStatus.CanChatAndPost,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,Dim_PlayerStatus,CanChatAndPost,Whether the user can post to the social feed or chat. False when IsBlocked=1 and for status 3 (Chat Blocked). True for all other statuses including close-only,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.PlayerStatus.md,"Whether the user can post to the social feed, comment, or chat. When false, the user can view social content but cannot contribute. Applied by status 3 (Chat Blocked) for social policy violations",FAIL,LOW,L2-semantic,"Whether the user can post to the social feed, comment, or chat. When false the user can view social content but cannot contribute. Applied by status 3 (Chat Blocked) for social policy violations (Tier 1 - Dictionary.PlayerStatus)",WRONG,"[9/15: Close Only] Close ✓, Login ✓ — everything else ✗","Whether the user can post to the social feed or chat. False when IsBlocked=1, for status 3 (Chat Blocked), and for close-only/pending statuses (9, 13, 15) where only Close and Login are permitted.",TRUE,"Whether the user can post to the social feed, comment, or chat. When false the user can view social content but cannot contribute. Applied by status 3 (Chat Blocked) for social policy violations (Tier 1 - Dictionary.PlayerStatus)",FALSE,audit vs judge disagree
Dim_PositionHedgeServerChangeLog_Snapshot.HedgeServerID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionHedgeServerChangeLog_Snapshot.md,Dim_PositionHedgeServerChangeLog_Snapshot,HedgeServerID,"The hedge server ID the position was moved to. After this operation, Trade.PositionTbl.HedgeServerID equals this value for the affected position",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Trade/Tables/Trade.PositionsHedgeServerChangeLog.md,,FAIL,LOW,L0-unresolved,,WRONG,"PositionID	,FromHedgeServerID	,
OpenDateID,
CAST(CONVERT (VARCHAR(8) , dateadd(day,-1,CAST(OccurredDate AS DATE)), 112 ) AS INT),
GETDATE()
FROM #NewPositions
WHERE OpenDateID<OccurredDateID","The hedge server assigned to the position during the [FromDate, ToDate] period. For a new position's initial row this is the original FromHedgeServerID (before any change); for subsequent rows it is the ToHedgeServerID from the change-log event.",TRUE,"The hedge server assigned to the position during the [FromDate, ToDate] period. For a new position's initial row this is the original FromHedgeServerID (before any change); for subsequent rows it is the ToHedgeServerID from the change-log event.",FALSE,audit vs judge disagree
Dim_RedeemReason.RedeemReasonName,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RedeemReason.md,Dim_RedeemReason,RedeemReasonName,"Internal reason code name. DWH note: renamed from Name in production source. Prefix convention: Rre = Redeem Rejection, ServerError = service failure, Failed = processing failure. Values: RreTradeBlocked(1), RreFundingBlocked(2), RreDisputeProcess(3), RreInternalUser(4), RreVerificationLevel(5), ValidationDataIntegrity(6), RejectedByOps(7), FailedByTrading(8), FailedByWallet(9), CanceledByOps(10), ServerErrorTrading(11), ServerErrorWallet(12), ServerErrorSettings(13), DbError(14), CanceledByUser(15), NwaValidation(16), CancelledByTrading(18), FailedByDelta(19), TransferNegativeBalanceTerminated(20)",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.RedeemReason.md,,FAIL,LOW,L0-unresolved,,WRONG,Row Count | 18 (MCP verified),"Internal reason code name, renamed from Name in production source. 18 distinct values (IDs 1–16, 18, 20; gaps at 17 and 19). Prefix conventions: Rre = Redeem Rejection, ServerError = service failure, Failed = processing failure. FailedByDelta(19) does not exist in the upstream dictionary.",TRUE,"Internal reason code name, renamed from Name in production source. 18 distinct values (IDs 1–16, 18, 20; gaps at 17 and 19). Prefix conventions: Rre = Redeem Rejection, ServerError = service failure, Failed = processing failure. FailedByDelta(19) does not exist in the upstream dictionary.",FALSE,audit vs judge disagree
Fact_Cashout_Rollback.PaymentStatusID,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Cashout_Rollback.md,Fact_Cashout_Rollback,PaymentStatusID,"Status of the rollback at time of recording. Always 2 (InProcess) across all production rows — set from @CashoutStatusID parameter. Uses Dictionary.PaymentStatus: 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.CashoutRollbackTracking.md,"Status of the rollback at time of recording. Always 2 across all 7,349 rows (set from @CashoutStatusID parameter). Uses the same CashoutStatus lookup as Billing.Withdraw. The constant value 2 suggests rollbacks are only recorded when the payment is in a specific pre-rollback state",FAIL,LOW,L2-semantic,"Status of the rollback at time of recording. Always 2 across all production rows — set from @CashoutStatusID parameter. Uses the same CashoutStatus lookup as Billing.Withdraw, not Dictionary.PaymentStatus. (Tier 1 - Billing.CashoutRollbackTracking.md)",WRONG,Approved (2) is the only terminal success state,"Cashout status of the rollback record. Always 2 (Approved) across all production rows, indicating confirmed rollback operations. Uses Dictionary.PaymentStatus: 1=New, 2=Approved, 3=Decline, 4=Technical, 5=InProcess, 6=Canceled, 7=Confirmed.",TRUE,"Status of the rollback at time of recording. Always 2 across all production rows — set from @CashoutStatusID parameter. Uses the same CashoutStatus lookup as Billing.Withdraw, not Dictionary.PaymentStatus. (Tier 1 - Billing.CashoutRollbackTracking.md)",FALSE,audit vs judge disagree
