dwh_wiki,dwh_object,line_no,column_index,column_name,tier_claim_raw,current_desc,source_wiki,source_column,source_tier,source_desc,match_method,layer,verdict,severity,judge_reason,proposed_fix,notes
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,CustomerStatic,110,1,CID,"upstream wiki, Customer.CustomerStatic",Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,CID,OLTP-truth,Customer ID - platform-internal primary key. Assigned at registration. Unique within etoro DB. Used as the universal customer identifier across all tables,exact (case-insensitive),L2-semantic,PASS,,The downstream description is identical to the source description.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,CustomerStatic,111,2,Registered,"upstream wiki, Customer.CustomerStatic","Account registration date. Default=getdate() at production. Indexed via Idx_Customer_Customer_Registered with INCLUDE on key contact fields in production. In this DWH table, serves as the base for DateID and TimeID derivation",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,Registered,OLTP-truth,Account registration date. Default=getdate(). Indexed via Idx_Customer_Customer_Registered with INCLUDE on key contact fields,exact (case-insensitive),L2-semantic,PASS,,"Both describe the account registration date with the same default and index; the downstream note about DateID/TimeID derivation is additive DWH context, not a change in business meaning.",,
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,CustomerStatic,112,3,IsReal,"upstream wiki, Customer.CustomerStatic",Whether this is a real-money account (1) or demo (0). In production this is a bit column; in DWH stored as tinyint. All non-demo customers have IsReal=1,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,IsReal,OLTP-truth,Whether this is a real-money account (1) or demo (0). All rows in this environment are IsReal=1. Demo accounts may be in separate DB or schema,exact (case-insensitive),L2-semantic,PASS,,Both describe a real-money (1) vs demo (0) flag with the same business meaning; the added detail about bit vs tinyint storage is a harmless implementation note.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/CustomerStatic.md,CustomerStatic,119,10,PlatformID,"upstream wiki, Customer.CustomerStatic","Platform identifier. In production Customer.CustomerStatic this is a nullable int with 4 known values: 0=Undefined, 1=Web, 2=IOS, 3=Android (confirmed from Dim_Platform lookup)",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Customer/Tables/Customer.CustomerStatic.md,PlatformID,OLTP-truth,"Platform/product identifier (web, mobile, etc.)",exact (case-insensitive),L2-semantic,PASS,,"Both describe a platform/product identifier; the downstream version simply adds implementation details (nullable int, known enum values) that do not change the business meaning.",,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountStatus.md,Dim_AccountStatus,105,1,AccountStatusID,"upstream wiki, Dictionary.AccountStatus","Primary key identifying the account state. 1=Open (active account, full platform access), 2=Closed (deactivated, no activity permitted), 0=N/A (DWH placeholder for NULL-safe JOINs). Referenced by Dim_Customer.AccountStatusID",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.AccountStatus.md,AccountStatusID,OLTP-truth,"Primary key identifying the account state. 1=Open (active account, full platform access), 2=Closed (deactivated, no activity permitted). Referenced by Customer.CustomerStatic.AccountStatusID and Hedge.AccountStatus tables. See [Account Status](_glossary.md#account-status). (Dictionary.AccountStatus)",exact (case-insensitive),L2-semantic,PASS,,"The downstream description adds a DWH-specific placeholder value (0=N/A) for NULL-safe JOINs, which is a standard warehouse implementation detail that does not change the business meaning of the source column.",,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountStatus.md,Dim_AccountStatus,106,2,AccountStatusName,"upstream wiki, Dictionary.AccountStatus","Human-readable label for the account state: 'Open', 'Closed', or 'N/A'. Used in reporting to display account state. Sourced directly from Dictionary.AccountStatus.AccountStatusName",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.AccountStatus.md,AccountStatusName,OLTP-truth,"Human-readable label for the account state. Used in BackOffice reporting procedures (e.g., BackOffice.GetBlockedCustomers, BackOffice.GetClosedAccountsByLastChangeDate) to display account state in administrative UI",exact (case-insensitive),L2-semantic,PASS,,Both describe AccountStatusName as a human-readable label for account state used in reporting; the downstream version adds example enum values but does not change the business meaning.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,Dim_AccountType,134,1,AccountTypeID,"upstream wiki, Dictionary.AccountType","Primary key identifying the account classification. 0=N/A (DWH placeholder), 1=Private, 2=Corporate, 3=IB Account, 4=Joint Account, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrated, 17=Funded Employee, 18=Trust. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. Referenced by Dim_Customer.AccountTypeID",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.AccountType.md,AccountTypeID,OLTP-truth,"Primary key identifying the account classification. 1=Private, 2=Corporate, 3=IB Account, 4=Joint, 5=White Label, 6=Affiliate Private, 7=Employee, 8=Custodian, 9=Fund, 10=eToro Group, 11=News, 12=White List, 13=Analyst, 14=SMSF, 15=Affiliate Corporate, 16=Administrated, 17=Funded Employee. Controls feature access, regulatory treatment, fee structures, and compliance monitoring level. See [Account Type](_glossary.md#account-type). (Dictionary.AccountType)",exact (case-insensitive),L2-semantic,PASS,,Downstream adds DWH placeholder 0=N/A and 18=Trust which are legitimate DWH/downstream extensions of the same enumeration; core business meaning and all shared enum values match.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,Dim_AccountType,135,2,Name,"upstream wiki, Dictionary.AccountType",Human-readable account type label. Maps to Dictionary.AccountType.AccountTypeName in production (renamed in DWH). Used in reporting to display account classification,knowledge/ProdSchemas/ComplianceDBs/USABroker/Wiki/Dictionary/Tables/Dictionary.AccountType.md,Name,OLTP-truth,Display name for the account type. UPPERCASE format matching Apex Clearing's API conventions,exact (case-insensitive),L2-semantic,PASS,,Both describe the display name for the account type; the downstream description adds lineage detail but refers to the same column value.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,Dim_BillingDepot,105,1,DepotID,"upstream wiki, Billing.Depot",Primary key. Manually assigned (no IDENTITY). Stable identifier for this payment gateway endpoint. Range 1-174 with gaps; 163 rows. Referenced by fact deposit/cashout tables and MID settings,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.Depot.md,DepotID,OLTP-truth,"Primary key. Manually assigned (no IDENTITY). Stable identifier referenced by deposits, MID settings, and routing tables",exact (case-insensitive),L2-semantic,PASS,,Both describe DepotID as a manually-assigned primary key and stable identifier referenced by downstream billing/deposit tables; the downstream version simply adds cardinality details and synonyms.,,
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_BillingDepot.md,Dim_BillingDepot,106,2,FundingTypeID,"upstream wiki, Billing.Depot","Payment method type (e.g., 1=CreditCard, 2=WireTransfer, 6=Neteller, 8=MoneyBookers). References Dictionary.FundingType. 38 distinct values across 163 depots",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Billing/Tables/Billing.Depot.md,FundingTypeID,OLTP-truth,"Payment method type (e.g., 1=CreditCard, 2=Wire, 6=Neteller, 8=MoneyBookers/Skrill). References `Dictionary.FundingType` implicitly (no FK constraint in DDL). 38 distinct values across 163 depots",exact (case-insensitive),L2-semantic,PASS,,"Both descriptions convey the same business meaning: a payment method type ID referencing Dictionary.FundingType with identical cardinality; minor wording differences (Wire vs WireTransfer, MoneyBookers/Skrill vs MoneyBookers) are cosmetic label variants.",,
