file_relpath,line,slop_kind,uc_object,column,statement_kind,current_statement,corrected_statement
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,53,labelid_bonusonly,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,LabelID,ALTER,ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked ALTER COLUMN LabelID COMMENT 'Internal segment label. FK to Dictionary.Label. LabelID=26 = BonusOnly customer (triggers IsHedged=0). Default=0. (Tier 1 - Customer.CustomerStatic)';,"ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked ALTER COLUMN LabelID COMMENT 'Customer-segment label. FK to DWH_dbo.Dim_Label. Per dictionary (verified 2026-05-13): 26=ILQ, 30=Dealing -- both excluded by IsValidCustomer and used in the BackOffice IsHedged trigger (along with BackOffice.BonusOnlyCustomers, which is a SEPARATE table-based list, not the same as LabelID=26). Many other labels exist; query Dim_Label for the full map. Default=0. (Tier 1 - Customer.CustomerStatic)';"
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,68,playerlevelid_v1,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,PlayerLevelID,ALTER,ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked ALTER COLUMN PlayerLevelID COMMENT 'Customer experience/permission level. FK to Dictionary.PlayerLevel. 1=Standard (94%); 4=Popular Investor; 7=VIP. Determines available features and risk limits. Default=0. (Tier 1 - Customer.CustomerStatic)';,"ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked ALTER COLUMN PlayerLevelID COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,290,labelid_bonusonly,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer,LabelID,ALTER,ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer ALTER COLUMN LabelID COMMENT 'Internal segment label. FK to Dictionary.Label. LabelID=26 = BonusOnly customer (triggers IsHedged=0). Default=0. (Tier 1 - Customer.CustomerStatic)';,"ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer ALTER COLUMN LabelID COMMENT 'Customer-segment label. FK to DWH_dbo.Dim_Label. Per dictionary (verified 2026-05-13): 26=ILQ, 30=Dealing -- both excluded by IsValidCustomer and used in the BackOffice IsHedged trigger (along with BackOffice.BonusOnlyCustomers, which is a SEPARATE table-based list, not the same as LabelID=26). Many other labels exist; query Dim_Label for the full map. Default=0. (Tier 1 - Customer.CustomerStatic)';"
knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Customer.alter.sql,305,playerlevelid_v1,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer,PlayerLevelID,ALTER,ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer ALTER COLUMN PlayerLevelID COMMENT 'Customer experience/permission level. FK to Dictionary.PlayerLevel. 1=Standard (94%); 4=Popular Investor; 7=VIP. Determines available features and risk limits. Default=0. (Tier 1 - Customer.CustomerStatic)';,"ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_dim_customer ALTER COLUMN PlayerLevelID COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_SnapshotCustomer.alter.sql,50,playerlevelid_v2_demo,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,PlayerLevelID,ALTER,"ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN PlayerLevelID COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN PlayerLevelID COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.alter.sql,71,playerlevelid_v2_demo,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,PlayerLevelID,ALTER,"ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer ALTER COLUMN `PlayerLevelID` COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer ALTER COLUMN `PlayerLevelID` COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.downstream.alter.sql,41,playerlevelid_v2_demo,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,PlayerLevelID,ALTER,"ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN `PlayerLevelID` COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN `PlayerLevelID` COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.downstream.alter.sql,85,playerlevelid_v2_demo,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,PlayerLevelID,ALTER,"ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid ALTER COLUMN `PlayerLevelID` COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid ALTER COLUMN `PlayerLevelID` COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql,105,playerlevelid_v2_demo,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,PlayerLevelID,ALTER,"ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN `PlayerLevelID` COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked ALTER COLUMN `PlayerLevelID` COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql,224,playerlevelid_v2_demo,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,PlayerLevelID,ALTER,"ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid ALTER COLUMN `PlayerLevelID` COMMENT 'Account tier: 4=demo, other values=real tiers. DEFAULT 0. Source: Ext_FSC_Real_Customer_Customer.PlayerLevelID (CC). FK to Dim_PlayerLevel. Critical for IsValidCustomer (PlayerLevelID=4 excluded). (Tier 2 - SP_Fact_SnapshotCustomer)';","ALTER TABLE main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid ALTER COLUMN `PlayerLevelID` COMMENT 'Customer player-level tier. FK to DWH_dbo.Dim_PlayerLevel. Per dictionary (verified 2026-05-13): 0=N/A, 1=Bronze, 2=Platinum, 3=Gold, 4=Internal (in-house / eToro-employee accounts), 5=Silver, 6=Platinum Plus, 7=Diamond. NOT a Popular Investor signal (PI is tracked by GuruStatusID). NOT a demo flag (demo is AccountTypeID=2). Default=0. (Tier 2 - DWH_dbo.Dim_PlayerLevel)';"
