file_relpath,line,uc_object,column,codepoint,claimed_label,verdict,tier1_truth_name,dictionary_table,raw_comment
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.alter.sql,27,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,RegulationID,1,CySEC,MATCH,CySEC,DWH_dbo.Dim_Regulation,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC & GAML (other regulations are excluded by SP eligibility criteria). (Tier 1 - BackOffice.Customer)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.alter.sql,27,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,RegulationID,2,FCA,MATCH,FCA,DWH_dbo.Dim_Regulation,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC & GAML (other regulations are excluded by SP eligibility criteria). (Tier 1 - BackOffice.Customer)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.alter.sql,27,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,RegulationID,4,ASIC,MATCH,ASIC,DWH_dbo.Dim_Regulation,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC & GAML (other regulations are excluded by SP eligibility criteria). (Tier 1 - BackOffice.Customer)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.alter.sql,27,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,RegulationID,9,FSA Seychelles,MATCH,FSA Seychelles,DWH_dbo.Dim_Regulation,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC & GAML (other regulations are excluded by SP eligibility criteria). (Tier 1 - BackOffice.Customer)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SubEntity_Categorization.alter.sql,27,main.compliance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_subentity_categorization,RegulationID,10,ASIC & GAML,MATCH,ASIC & GAML,DWH_dbo.Dim_Regulation,"Regulatory entity governing this account. FK to Dictionary.Regulation. Changes trigger RegulationChangeDate update. In this table: 1=CySEC, 2=FCA, 4=ASIC, 9=FSA Seychelles, 10=ASIC & GAML (other regulations are excluded by SP eligibility criteria). (Tier 1 - BackOffice.Customer)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.alter.sql,30,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,CurrentTier,1,Bronze,MATCH,Bronze,DWH_dbo.Dim_PlayerLevel,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.alter.sql,30,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,CurrentTier,5,Silver,MATCH,Silver,DWH_dbo.Dim_PlayerLevel,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.alter.sql,30,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,CurrentTier,3,Gold,MATCH,Gold,DWH_dbo.Dim_PlayerLevel,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.alter.sql,30,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,CurrentTier,2,Platinum,MATCH,Platinum,DWH_dbo.Dim_PlayerLevel,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.alter.sql,30,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,CurrentTier,6,Platinum Plus,MATCH,Platinum Plus,DWH_dbo.Dim_PlayerLevel,"PlayerLevelID of the customer's current club tier as of DateID. Non-sequential: 1=Bronze, 5=Silver, 3=Gold, 2=Platinum, 6=Platinum Plus, 7=Diamond. Use JOIN to Dim_PlayerLevel for display names. (T1 - DWH_dbo.Dim_PlayerLevel wiki)"
