wiki_path,idx,column,source,old_cell,new_cell,status,hops,terminal_object,exhausted_reason
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,1,RealCID,BI_DB_Fact_Customer_Action_Position_Distribution.RealCID,Direct,Real-account Customer ID. References Dim_Customer.RealCID. Each customer has one real CID. Passthrough from Fact_CustomerAction.RealCID. (Tier 1 — Customer.CustomerStatic) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,2,Occurred,BI_DB_Fact_Customer_Action_Position_Distribution.Occurred,Direct,UTC timestamp when the action occurred. Passthrough from Fact_CustomerAction. (Tier 1 — source-dependent) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,3,InstrumentID,BI_DB_Fact_Customer_Action_Position_Distribution.InstrumentID,Direct,Tradeable instrument pair identifier. FK to Dim_Instrument. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 1 — Trade.Instrument) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,4,PositionID,BI_DB_Fact_Customer_Action_Position_Distribution.PositionID,Direct,"Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonID IN (117,118), extracted from Description field via reverse string parsing with TRY_CAST fallback. COALESCE prefers Dim_Position. (Tier 1 — Trade.PositionTbl) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,5,DateID,BI_DB_Fact_Customer_Action_Position_Distribution.DateID,Direct,"Integer date key in YYYYMMDD format. DELETE+INSERT keyed on this column. 6,356 distinct dates from April 2008 to present. Passthrough from Fact_CustomerAction.DateID. (Tier 2 — DWH_dbo.Fact_CustomerAction) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,6,IsSettled,BI_DB_Fact_Customer_Action_Position_Distribution.IsSettled,Direct,"1 = real asset, 0 = CFD asset. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 5 — Expert Review) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,7,MirrorID,BI_DB_Fact_Customer_Action_Position_Distribution.MirrorID,Direct,FK to Trade.Mirror. 0/NULL = manual trade. Positive = copy-trade position. DWH note: set to 0 if action Occurred after a detach-from-mirror event (ActionTypeID=19) for the same PositionID. COALESCE from Dim_Position. (Tier 1 — Trade.PositionTbl) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,8,Leverage,BI_DB_Fact_Customer_Action_Position_Distribution.Leverage,Direct,"Leverage multiplier (1, 5, 10, etc.). Determines margin and settlement type. COALESCE from Dim_Position over Fact_CustomerAction. (Tier 1 — Trade.PositionTbl) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,9,IsAirDrop,BI_DB_Fact_Customer_Action_Position_Distribution.IsAirDrop,Direct,"1 = position was created via an airdrop event (crypto). ISNULL(COALESCE(dp, fca), 0) — defaults to 0. (Tier 2 — SP_Dim_Position_DL_To_Synapse) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,10,GCID,BI_DB_Fact_Customer_Action_Position_Distribution.GCID,Direct,Global Customer ID — cross-platform identifier linking RealCID to demo and external systems. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,11,CountryID,BI_DB_Fact_Customer_Action_Position_Distribution.CountryID,Direct,Customer's registered country. DEFAULT 0. FK to Dim_Country. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,12,LabelID,BI_DB_Fact_Customer_Action_Position_Distribution.LabelID,Direct,"Brand/label associated with the customer (e.g., eToro UK, eToro Australia). DEFAULT 0. FK to Dim_Label. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,13,VerificationLevelID,BI_DB_Fact_Customer_Action_Position_Distribution.VerificationLevelID,Direct,KYC verification level. DEFAULT -1. FK to Dim_VerificationLevel. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,14,PlayerStatusID,BI_DB_Fact_Customer_Action_Position_Distribution.PlayerStatusID,Direct,"Customer lifecycle status (e.g., Active, Blocked, Pending). DEFAULT 0. FK to Dim_PlayerStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution)",FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,15,RiskStatusID,BI_DB_Fact_Customer_Action_Position_Distribution.RiskStatusID,Direct,Customer risk assessment status. DEFAULT 0. FK to Dim_RiskStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,16,RiskClassificationID,BI_DB_Fact_Customer_Action_Position_Distribution.RiskClassificationID,Direct,Risk classification tier for compliance. DEFAULT 0. FK to Dim_RiskClassification. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,17,GuruStatusID,BI_DB_Fact_Customer_Action_Position_Distribution.GuruStatusID,Direct,Popular Investor (Guru) program status. DEFAULT 0. FK to Dim_GuruStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,18,RegulationID,BI_DB_Fact_Customer_Action_Position_Distribution.RegulationID,Direct,Customer's assigned regulatory jurisdiction. DEFAULT 0. FK to Dim_Regulation. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,19,AccountStatusID,BI_DB_Fact_Customer_Action_Position_Distribution.AccountStatusID,Direct,Account enabled/suspended status. DEFAULT 0. FK to Dim_AccountStatus. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,20,AccountManagerID,BI_DB_Fact_Customer_Action_Position_Distribution.AccountManagerID,Direct,Assigned account manager (sales/retention). DEFAULT 0. FK to Dim_Manager. Passthrough from Fact_SnapshotCustomer at action date via SCD JOIN. (Tier 2 — DWH_dbo.Fact_SnapshotCustomer) (via BI_DB_Fact_Customer_Action_Position_Distribution),FOUND,2,BI_DB_Fact_Customer_Action_Position_Distribution,
