claim_id,wiki_md,line_no,column_name,n_enum_entries,claimed_pairs,current_desc,enum_block,target_dim,resolution_strategy,target_dim_md,validation_status,delusional_ids,mismatched_labels,missing_ids
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Adwords_Geo_Conv.md::country_criteria_id::L124,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Adwords_Geo_Conv.md,124,country_criteria_id,5,2840=US; 2826=UK; 2276=DE; 2724=ES; 2414=LTM,"Google Ads geographic country criteria ID. Maps to Google geocriteria codes (e.g., 2840=US, 2826=UK, 2276=DE, 2724=ES, 2414=LTM). Enables country-level attribution. Mapped from Fivetran country_criterion_id. (Tier 2 — SP_Adwords_Pref_Conv)","2840=US, 2826=UK, 2276=DE, 2724=ES, 2414=LTM",Dictionary.GoogleGeoCriteria,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Adwords_Geo_Pref.md::country_criteria_id::L123,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Adwords_Geo_Pref.md,123,country_criteria_id,3,2840=US; 2826=UK; 2100=Italy,"Google Ads geographic country criteria ID. Maps to geocriteria codes (e.g., 2840=US, 2826=UK, 2100=Italy). Mapped from Fivetran country_criterion_id. (Tier 2 — SP_Adwords_Pref_Conv)","2840=US, 2826=UK, 2100=Italy",Dictionary.GoogleGeoCriteria,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Affiliates_VerificationSLA.md::VerificationLevelID::L135,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Affiliates_VerificationSLA.md,135,VerificationLevelID,4,0=unverified; 1=partial; 2=intermediate; 3=fully verified,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. Default=0. DWH note: In this table, only levels 2 and 3 appear — the SP filters on VerificationLevel2Date so only accounts that reached Level 2 within the 4-month window are included. (Tier 1 — BackOffice.Customer)","0=unverified, 1=partial, 2=intermediate, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""partial"", ""canonical"": ""Basic (limited trading""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]",[-1]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AggMobileAcquisitionDaily.md::TierCountry::L133,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AggMobileAcquisitionDaily.md,133,TierCountry,3,1=highest value; 2=medium; 3=lowest,"Country revenue tier classification (1=highest value, 2=medium, 3=lowest). Affects CPA pricing. (Tier 4 — inferred from column name)","1=highest value, 2=medium, 3=lowest",Dictionary.CountryRank,irregular_map,,unverifiable,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Affiliate_Abuse_Aff_data.md::ContractType::L145,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Affiliate_Abuse_Aff_data.md,145,ContractType,7,0=N/A; 2=CPA; 3=Rev; 4=Hyb; 6=eCost; 7=ZeroCost; 8=CPL,"Commercial contract type code. 0=N/A, 2=CPA, 3=Rev, 4=Hyb, 6=eCost, 7=ZeroCost, 8=CPL. Drives how the affiliate is compensated. (Tier 2 — SP_AML_Affiliate_Abuse Step 02 via Dim_Affiliate)","0=N/A, 2=CPA, 3=Rev, 4=Hyb, 6=eCost, 7=ZeroCost, 8=CPL",Dim_ContractType,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ContractType.md,partial,[],[],"[1, 5]"
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Affiliate_Abuse_Users.md::VerificationLevelID::L162,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Affiliate_Abuse_Users.md,162,VerificationLevelID,4,0=unverified; 1=partial; 2=intermediate; 3=fully verified,"KYC verification level: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. Passthrough from Dim_Customer. (Tier 1 — DWH_dbo.Dim_Customer wiki)","0=unverified, 1=partial, 2=intermediate, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""partial"", ""canonical"": ""Basic (limited trading""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]",[-1]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_AML_Alerts.md::PlayerStatusID::L108,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_AML_Alerts.md,108,PlayerStatusID,14,0=N/A; 1=Normal; 2=Blocked; 3=Chat Blocked; 4=Blocked Upon Request; 5=Warning; 6=Blocked-Under Investigation; 7=Scalpers Block; 8=Blocked-PayPal Investigation; 9=Trade & MIMO Blocked; 10=Deposit Blocked; 11=Social Index; 12=Copy Block; 13=Pending Verification,"AML-driven PlayerStatus code applied to the customer. 0=N/A, 1=Normal, 2=Blocked, 3=Chat Blocked, 4=Blocked Upon Request, 5=Warning, 6=Blocked-Under Investigation, 7=Scalpers Block, 8=Blocked-PayPal Investigation, 9=Trade & MIMO Blocked, 10=Deposit Blocked, 11=Social Index, 12=Copy Block, 13=Pending Verification, 14=Blocked–Failed Verification, 15=Block Deposit & Trading (FK to Dim_PlayerStatus). (Tier 3 — DWH_dbo.Dim_PlayerStatus)","0=N/A, 1=Normal, 2=Blocked, 3=Chat Blocked, 4=Blocked Upon Request, 5=Warning, 6=Blocked-Under Investigation, 7=Scalpers Block, 8=Blocked-PayPal Investigation, 9=Trade & MIMO Blocked, 10=Deposit Blocked, 11=Social Index, 12=Copy Block, 13=Pending Verification",Dim_PlayerStatus,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,partial,[],[],[15]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_Risk_Classification.md::RiskClassID::L123,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_Risk_Classification.md,123,RiskClassID,5,1=Medium(50; 2=Low(0; 3=Unacceptable(200; 4=Medium High(75; 5=Medium Low(25,"New/current risk classification ID after the AML-driven change. Values from DWH_dbo.Dim_RiskClassification: 0=High(RiskScore=100), 1=Medium(50), 2=Low(0), 3=Unacceptable(200), 4=Medium High(75), 5=Medium Low(25). FK to Dim_RiskClassification. (Tier 3 — DWH_dbo.Dim_RiskClassification)","1=Medium(50), 2=Low(0), 3=Unacceptable(200), 4=Medium High(75), 5=Medium Low(25",Dim_RiskClassification,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RiskClassification.md,partial,[],[],[0]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_Risk_Classification.md::PreviousRiskClassID::L125,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Benchmarks_Risk_Classification.md,125,PreviousRiskClassID,6,0=High; 1=Medium; 2=Low; 3=Unacceptable; 4=Medium High; 5=Medium Low,"Prior risk classification ID before this change event. Same value domain as RiskClassID: 0=High, 1=Medium, 2=Low, 3=Unacceptable, 4=Medium High, 5=Medium Low. (Tier 3 — DWH_dbo.Dim_RiskClassification)","0=High, 1=Medium, 2=Low, 3=Unacceptable, 4=Medium High, 5=Medium Low",Dim_RiskClassification,irregular_map,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_RiskClassification.md,clean,[],[],[]
knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Documents_Dashboard.md::VerificationLevelID::L122,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_Documents_Dashboard.md,122,VerificationLevelID,4,0=unverified; 1=partial; 2=intermediate; 3=fully verified,"KYC verification level. FK to Dictionary.VerificationLevel. Values: 0=unverified, 1=partial, 2=intermediate, 3=fully verified. Default=0. (Tier 1 — BackOffice.Customer)","0=unverified, 1=partial, 2=intermediate, 3=fully verified",Dim_VerificationLevel,heuristic_<X>ID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,mismatched_labels,[],"[{""id"": 1, ""claimed"": ""partial"", ""canonical"": ""Basic (limited trading""}, {""id"": 3, ""claimed"": ""fully verified"", ""canonical"": ""Full KYC (all features unlocked""}]",[-1]
