schema,table,column,ordinal,current_len,current_rich,is_trivial,bucket,action,reason,wiki_path,wiki_len,wiki_rich,best_sibling_path,best_sibling_len,best_sibling_rich,current_comment,wiki_cell,best_sibling_cell
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,PositionID,0,91,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_AdminFee.md,374,5,Unique identifier for an open or closed trading position. FK to Dim_Position/Fact_Position.,,"Position identifier. Allocated by Internal.GetPositionID_Bigint. Unique per position. HASH distribution key. DWH note: for ActionTypeID=36 + CompensationReasonID IN (117,118), extracted from Description field via reverse string parsing with TRY_CAST fallback. COALESCE prefers Dim_Position. (Tier 1 — Trade.PositionTbl) (via BI_DB_Fact_Customer_Action_Position_Distribution)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,RealCID,1,114,1,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=4 > uc r=1,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_WatchListsByFunnel.md,164,4,Real-account Customer ID. References the live trading account (excludes virtual/demo). FK to Dim_Customer.RealCID.,,Customer ID of the Popular Investor when ItemType='User'. NULL when ItemType='Instrument'. Passthrough from Dim_Customer.RealCID. (Tier 1 — Customer.CustomerStatic)
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,DateID,2,56,0,False,WEAK_TRIVIAL_HAS_RICHER,converge_sibling,short; sibling Function_DDR_Aggregation_ThisMonth.md 231ch r=4,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisMonth.md,231,4,Date dimension key (integer YYYYMMDD or FK to Dim_Date).,,"Reporting (int yyyymmdd) = @dateInt = CAST(CONVERT(varchar(8), @date, 112) AS INT) ; delete/reinsert key (DELETE WHERE DateID = @dateID). (Tier 2 — BI_DB_dbo.SP_DDR_Customer_Periodic_Status) (via BI_DB_DDR_Customer_Periodic_Status)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,Occurred,3,123,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=3 > uc r=0,,0,0,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FactTransactions.md,213,3,UTC timestamp when action occurred. For position opens: open time. For logins: login time. For credits: credit record time.,,When the transaction record was created in the database. From SentTransactions.Occurred or ReceivedTransactions.Occurred. DWH note: Stored as datetime (datetime2 in source view). (Tier 1 — Wallet.TransactionsView)
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,Amount,4,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling Function_Revenue_Total.md has 332ch r=10,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Total.md,332,10,,,"DDR branch: SUM(ga.Amount) grouped after WHERE ga.DateID BETWEEN @sdateInt AND @edateInt AND ga.Metric <> 'StakingLagOneMonth' (staking lag rows excluded from this union part). Staking branch: SUM(frsf.TotalUSDDistributed) from Function_Revenue_StakingFee(@sdateInt,@edateInt) with @OnlyValidCustomers filter on frsf.IsValidCustomer"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,Metric,5,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_DDR_Fact_Revenue_Generating_Actions.md has 194ch r=1,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md,194,1,,,"Canonical revenue column label (FullCommission, RollOverFee, TransferCoinFee, StakingLagOneMonth, …) — enumerated in Dim_Revenue_Metrics.Metric. (Tier 2 — SP_DDR_Fact_Revenue_Generating_Actions)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,ActionType,6,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling eMoney_Daily_MIMO_New_Reports_Action.md has 182ch r=3,,0,0,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Daily_MIMO_New_Reports_Action.md,182,3,,,Type of financial action from DWH_dbo.Dim_ActionType.Name. Only Deposit (ActionTypeID=7) and Cashout (ActionTypeID=8) are included. (Tier 2 — SP_eMoney_Daily_MIMO via Dim_ActionType)
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IncludedInTotalRevenue,7,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_DDR_Fact_Revenue_Generating_Actions.md has 386ch r=1,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md,386,1,,,"True if this metric contributes to the canonical ""Total Revenue"" rollup; False for raw/pass-through entries (Commission, Dividends, SDRT). Filter on this when computing top-line revenue to avoid double-counting. SP_DDR post-processing forces Metric='SDRT' rows to 0 even if dictionary flipped historically. Stored as int mirror of Dim_Revenue_Metrics bit semantics. (Tier 1 — UC sample)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsActiveTrade,8,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling Function_Revenue_Trading_Instrument_Level.md has 180ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Trading_Instrument_Level.md,180,3,,,"TotalFullCommission branch: CASE WHEN ISNULL(IsAirDrop,0)=0 AND MirrorID=0 THEN 1 ELSE 0 END. RolloverFee/AdminFee/SpotAdjustFee: literal 0. TicketFee/TicketFeeByPercent: literal 1"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsSettled,9,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling Dealing_HedgeCost.md has 348ch r=3,,0,0,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_HedgeCost.md,348,3,,,"Settlement type classification: 'Real' = settled stock ownership position (IsSettled=1 or HedgeServerID IN (9,102,112,125,126) for LP side), 'CFD' = contract-for-difference. Client-side uses Dim_PositionChangeLog correction (ChangeTypeID=13) to recover the IsSettled value AS OF the report date before any subsequent changes. (Tier 2 -SP_HedgeCost)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,MirrorID,10,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_CopyFund_Positions.md has 184ch r=5,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CopyFund_Positions.md,184,5,,,"FK to Trade.Mirror. 0/NULL = manual. Positive = copy-trade position. (All rows in this table have MirrorID > 0, MirrorTypeID = 4.) (Tier 1 — DWH_dbo.Dim_Position via Trade.PositionTbl)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,SettlementTypeID,11,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling Function_Revenue_Commissions.md has 194ch r=2,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_Commissions.md,194,2,,,"Dictionary.SettlementTypes modern encoding (0 CFD, 1 REAL, 2 TRS, 3 CMT, 4 REAL_FUTURES, 5 MARGIN_TRADE). Supersedes naïve IsSettled reads. (Tier 1 — Trade.PositionTbl) (via Fact_CustomerAction)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsSettled_Final,12,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,MirrorID_Final,13,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,SettlementTypeID_Final,14,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsOpenFromIBAN,15,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,,0,0,,,
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsClosedToIBAN,16,0,0,False,EMPTY_NO_WIKI,needs_authoring,no usable wiki/sibling,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume.md,46,1,,,CASE WHEN PositionID matched THEN 1 ELSE 0 END
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,IsCopyFund,17,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_DDR_Fact_PnL.md has 198ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.md,198,3,,,"Smart Portfolio / Fund position flag from TVF: CASE WHEN cpt.PositionID IS NOT NULL THEN 1 ELSE 0 END with LEFT JOIN BI_DB_CopyFund_Positions. ISNULL(...,0) in SP. (Tier 2 — Function_PnL_Single_Day)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,InstrumentID,18,126,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=5 > uc r=0,,0,0,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.md,334,5,Primary key identifying the tradeable instrument pair. Referenced by virtually every trading fact table. FK to Dim_Instrument.,,"Composite instrument identifier. CASE WHEN eToroInstrumentID >= 100000 THEN eToroInstrumentID ELSE CryptoId END. For eToro-mapped instruments, equals eToroInstrumentID; for crypto-native instruments, equals CryptoID. Not a direct FK to EXW_Currency.Instruments. (Tier 2 — EXW_Wallet.CryptoTypes / EXW_Wallet.CryptoMarketRatesMappings)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,InstrumentTypeID,19,128,0,False,MEDIUM_HAS_RICHER,converge_sibling,medium; sibling r=3 > uc r=0,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Revenue_Generating_Actions.md,261,3,"Instrument asset class identifier: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto. FK to Dim_InstrumentType.",,"From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to Dictionary.CurrencyType. ISNULL(...,-1) masks NULL account-level feeds. (Tier 1 — Trade.GetInstrument)"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,InstrumentType,20,0,0,False,EMPTY_HAS_WIKI,auto_deploy_sibling,sibling BI_DB_PositionHoldingTime.md has 510ch r=3,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionHoldingTime.md,510,3,,,"Asset class or copy-trade category. For regular positions: Dim_Instrument.InstrumentType text label (8 InstrumentTypeID-driven values: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies). For copy positions: 'Copy Trade' (MirrorTypeID≠4) or 'Copy Portfolio' (MirrorTypeID=4). Distribution: Stocks 36.8%, Indices 18.8%, Commodities 17.1%, Crypto Currencies 16.2%, Currencies 6.1%, ETF 4.0%, Copy Trade 0.8%, Copy Portfolio 0.2%. (Tier 2 — SP_PositionHoldingTime + Dim_Instru"
etoro_kpi_prep,__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,InstrumentName,21,73,0,False,WEAK_TRIVIAL_HAS_RICHER,converge_sibling,short; sibling BI_DB_Finance_eToro_vs_Positions.md 184ch r=4,,0,0,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_eToro_vs_Positions.md,184,4,"Display name of the financial instrument (e.g., Apple, Bitcoin, EUR/USD).",,"Internal instrument name with exchange suffix, e.g. ""PHAR/USD"", ""FOX.RTH/USD"", ""MLX.ASX/AUD"". From Dim_Instrument.Name. (Tier 2 -SP_Finance_Non_US_Settlement_2025, Dim_Instrument.Name)"
