wiki_path,section_4_title,semantic_header,idx,column,source,semantic_cell,verdict,signal
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,1,CID,Fact_SnapshotEquity.CID,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,2,DateID,V_M2M_Date_DateRange.DateKey,Direct (alias DateKey → DateID),TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,3,FullDate,V_M2M_Date_DateRange.FullDate,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,4,RealizedEquity,Fact_SnapshotEquity.RealizedEquity,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,5,TotalPositionsAmount,Fact_SnapshotEquity.TotalPositionsAmount,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,6,TotalCash,Fact_SnapshotEquity.TotalCash,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,7,InProcessCashouts,Fact_SnapshotEquity.InProcessCashouts,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,8,TotalMirrorPositionsAmount,Fact_SnapshotEquity.TotalMirrorPositionsAmount,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,9,TotalMirrorCash,Fact_SnapshotEquity.TotalMirrorCash,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,10,TotalStockOrders,Fact_SnapshotEquity.TotalStockOrders,Direct (legacy — always 0 since 2019),TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,11,TotalMirrorStockOrders,Fact_SnapshotEquity.TotalMirrorStockOrders,Direct (legacy — always 0 since 2019),TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,12,Credit,Fact_SnapshotEquity.Credit,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,13,AUM,Fact_SnapshotEquity.AUM,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,14,BonusCredit,Fact_SnapshotEquity.BonusCredit,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,15,TotalStockPositionAmount,Fact_SnapshotEquity.TotalStockPositionAmount,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,16,TotalMirrorStockPositionAmount,Fact_SnapshotEquity.TotalMirrorStockPositionAmount,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,17,PositionPnL,Fact_CustomerUnrealized_PnL.PositionPnL,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,18,CopyPositionPnL,Fact_CustomerUnrealized_PnL.CopyPositionPnL,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,19,StandardDeviation,Fact_CustomerUnrealized_PnL.StandardDeviation,Direct,TRIVIAL,
knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Output Columns,Transformation,20,CommissionOnOpen,Fact_CustomerUnrealized_PnL.CommissionOnOpen,Direct,TRIVIAL,
