sample_idx,stratum,wiki_path,column,old_description,new_description,verdict_placeholder
1,SQL-derived,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,ClosedOnDate,Direct,"ISNULL(dp.ClosedOnDate, 0) (sql-derived [coalesce, DIVERGENT] from Function_PnL_Single_Day); branches: 1 when (dp.CloseDateID = @dateID) OR 0 (fallback); where dp = DWH_dbo.Dim_Position",
2,SQL-derived,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,IsCopyFund,Direct,CASE WHEN NOT cpt.PositionID IS NULL THEN 1 ELSE 0 END (sql-derived [case] from Function_PnL_Single_Day); where cpt = BI_DB_dbo.BI_DB_CopyFund_Positions,
3,SQL-derived,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_PnL_Single_Day.md,IsMarginTrade,Direct,"COALESCE(dp.IsMarginTrade, upl.IsMarginTrade) (sql-derived [coalesce, DIVERGENT] from Function_PnL_Single_Day); branches: CASE WHEN dp.SettlementTypeID = 5 THEN 1 ELSE 0 END OR CASE WHEN bdppl.SettlementTypeID = 5 THEN 1 ELSE 0 END; where dp = DWH_dbo.Dim_Position, bdppl = BI_DB_dbo.BI_DB_PositionPnL",
4,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,PositionPnLStocksReal,Direct,"Unrealized PnL from real (settled) stock positions only (IsSettled = 1 AND InstrumentTypeID IN (5,6) AND NOT futures). Uses PnLInDollars. (Tier 2 — SP_Fact_CustomerUnrealized_PnL) (via Fact_CustomerUnrealized_PnL)",
5,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,MirrorStocksPositionPnL,Direct,"Unrealized PnL from copy-trading stock positions (InstrumentTypeID IN (5,6) AND NOT futures AND MirrorID > 0). (Tier 2 — SP_Fact_CustomerUnrealized_PnL) (via Fact_CustomerUnrealized_PnL)",
6,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,CopyCryptoPositionPnL_TRS,Direct,Unrealized PnL from copy-trading crypto TRS positions (InstrumentTypeID = 10 AND MirrorID > 0 AND SettlementTypeID = 2). (Tier 2 — SP_Fact_CustomerUnrealized_PnL) (via Fact_CustomerUnrealized_PnL),
7,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,Notional_CFD,Direct,Absolute USD exposure for all CFD positions. (Tier 2 — SP_Fact_CustomerUnrealized_PnL) (via Fact_CustomerUnrealized_PnL),
8,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,CommissionOnOpen,Direct,Sum of opening commissions (Commission) across all open positions for this CID. (Tier 2 — SP_Fact_CustomerUnrealized_PnL) (via Fact_CustomerUnrealized_PnL),
9,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,TotalStockMarginLoanValue,Direct,Loan value for leveraged stock margin positions: InitForexRate × AmountInUnitsDecimal × InitConversionRate - NewAmount. Only computed when SettlementTypeID = 5 AND Leverage <> 1. Formula updated 2025-12-10 to use InitConversionRate. (Tier 2 — SP_Fact_SnapshotEquity_TotalPositionAmount) (via Fact_SnapshotEquity),
10,V_Liabilities,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,TotalRealFutures,Direct,Sum of all futures position amounts. Identified via JOIN to Dim_Instrument_Snapshot where IsFuture = 1 for the snapshot DateID. Added 2024-10-30. (Tier 2 — SP_Fact_SnapshotEquity_TotalPositionAmount) (via Fact_SnapshotEquity),
