wiki_path,column,old_description,new_description,reason
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_AUM_OptionsPlatform.md,RealCID,Direct,Real (funded) customer ID. Hash distribution key. The primary customer identifier in the DWH ecosystem. FK to Dim_Customer (if exists). 46.4M distinct values. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer),climb_found:Fact_SnapshotCustomer
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_AUM_OptionsPlatform.md,IsValidCustomer,Direct,"1 if the customer is a valid retail customer for analytics purposes. ETL-computed from PlayerLevelID, LabelID, CountryID. See §2.2. Approx 98% of current rows = 1. (Tier 2 - SP_Fact_SnapshotCustomer) (via Fact_SnapshotCustomer)",climb_found:Fact_SnapshotCustomer
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisMonth.md,DateID,Direct,"Reporting `(int yyyymmdd)` = `@dateInt = CAST(CONVERT(varchar(8), @date, 112) AS INT)` ; delete/reinsert key (`DELETE WHERE DateID = @dateID`). (Tier 2 — BI_DB_dbo.SP_DDR_Customer_Periodic_Status) (via BI_DB_DDR_Customer_Periodic_Status)",climb_found:BI_DB_DDR_Customer_Periodic_Status
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisQuarter.md,DateID,Direct,"Reporting `(int yyyymmdd)` = `@dateInt = CAST(CONVERT(varchar(8), @date, 112) AS INT)` ; delete/reinsert key (`DELETE WHERE DateID = @dateID`). (Tier 2 — BI_DB_dbo.SP_DDR_Customer_Periodic_Status) (via BI_DB_DDR_Customer_Periodic_Status)",climb_found:BI_DB_DDR_Customer_Periodic_Status
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisWeek.md,DateID,Direct,"Reporting `(int yyyymmdd)` = `@dateInt = CAST(CONVERT(varchar(8), @date, 112) AS INT)` ; delete/reinsert key (`DELETE WHERE DateID = @dateID`). (Tier 2 — BI_DB_dbo.SP_DDR_Customer_Periodic_Status) (via BI_DB_DDR_Customer_Periodic_Status)",climb_found:BI_DB_DDR_Customer_Periodic_Status
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_ThisYear.md,DateID,Direct,"Reporting `(int yyyymmdd)` = `@dateInt = CAST(CONVERT(varchar(8), @date, 112) AS INT)` ; delete/reinsert key (`DELETE WHERE DateID = @dateID`). (Tier 2 — BI_DB_dbo.SP_DDR_Customer_Periodic_Status) (via BI_DB_DDR_Customer_Periodic_Status)",climb_found:BI_DB_DDR_Customer_Periodic_Status
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_DDR_Aggregation_Yesterday.md,DateID,Direct,`@dateID` (`YYYYMMDD`) — partition / delete key for the narrow table. (Tier 2 — SP_DDR_Customer_Daily_Status) (via BI_DB_DDR_Customer_Daily_Status),climb_found:BI_DB_DDR_Customer_Daily_Status
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,InstrumentID,Direct,Primary key from Trade.Instrument. Identifies the tradeable instrument pair. (Tier 1 — Trade.GetInstrument) (via Dim_Instrument),climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,SellCurrency,Direct,"Trading symbol / ticker for the sell-side currency. ""USD"", ""EUR"", ""GBX"". UNIQUE constraint in production. Passthrough from Dictionary.Currency.Abbreviation via sell-side join. (Tier 1 — Dictionary.Currency) (via Dim_Instrument)",climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,InstrumentTypeID,Direct,"From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to Dictionary.CurrencyType. (Tier 1 — Trade.GetInstrument) (via Dim_Instrument)",climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,InstrumentType,Direct,"ETL-computed asset class label. CASE on InstrumentTypeID: 1=Currencies, 2=Commodities, 4=Indices, 5=Stocks, 6=ETF, 10=Crypto Currencies, else Other. (Tier 2 — SP_Dim_Instrument) (via Dim_Instrument)",climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,Name,Direct,"Display name computed by Trade.GetInstrument as BuyCurrency Abbreviation + '/' + SellCurrency Abbreviation (e.g., EUR/USD for forex, AAPL/USD for stocks). Not a company name; see InstrumentDisplayName for human-readable labels. (via Dim_Instrument)",climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Conversion_Rates.md,InstrumentDisplayName,Direct,"Human-readable name shown in UI (e.g., ""Apple"", ""EUR/USD""). Used in position displays, order forms, and APIs. (Tier 1 — Trade.InstrumentMetaData) (via Dim_Instrument)",climb_found:Dim_Instrument
knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Instrument_Snapshot_Enriched.md,DateID,Direct,"Snapshot date in yyyymmdd integer format -- represents ""yesterday"" relative to the ETL run date. The daily snapshot for business date 20260310 is loaded by the ETL run on 2026-03-11. FK to DWH_dbo.Dim_Date (DateID). Part of the natural composite key (DateID + InstrumentID). (Tier 2 -SP_Dim_Instrument_Snapshot) (via Dim_Instrument_Snapshot)",climb_found:Dim_Instrument_Snapshot
